Mutant_File,Mode_1_Seq,Mode_2_Sample,Mode_3_Odd,Mode_4_Even,Mode_5_HeadTail,Mode_6_Middle
mutant_1.cpp,2300,33600,35900,45300,400,3500
mutant_10.cpp,-1,-1,-1,-1,-1,-1
mutant_11.cpp,1600,33500,43500,43400,500,3300
mutant_12.cpp,1700,63600,49800,58200,500,4700
mutant_13.cpp,1500,21300,30600,28200,300,2700
mutant_14.cpp,1700,2500,300,400,200,2200
mutant_15.cpp,500,21500,17600,18400,200,2000
mutant_16.cpp,-1,-1,-1,-1,-1,-1
mutant_17.cpp,-1,-1,-1,-1,-1,-1
mutant_18.cpp,-1,-1,-1,-1,-1,-1
mutant_19.cpp,600,25200,17400,21200,200,2300
mutant_2.cpp,-1,-1,-1,-1,-1,-1
mutant_20.cpp,500,23400,20200,17800,300,2000
mutant_21.cpp,800,20700,20900,24500,300,2500
mutant_22.cpp,500,36500,40300,49500,800,5100
mutant_23.cpp,-1,-1,-1,-1,-1,-1
mutant_24.cpp,-1,-1,-1,-1,-1,-1
mutant_25.cpp,-1,-1,-1,-1,-1,-1
mutant_26.cpp,-1,-1,-1,-1,-1,-1
mutant_27.cpp,-1,-1,-1,-1,-1,-1
mutant_28.cpp,-1,-1,-1,-1,-1,-1
mutant_29.cpp,-1,-1,-1,-1,-1,-1
mutant_3.cpp,500,3000,300,300,200,2000
mutant_30.cpp,-1,-1,-1,-1,-1,-1
mutant_31.cpp,-1,-1,-1,-1,-1,-1
mutant_32.cpp,-1,-1,-1,-1,-1,-1
mutant_33.cpp,-1,-1,-1,-1,-1,-1
mutant_34.cpp,500,1900,300,300,200,1900
mutant_35.cpp,500,2100,300,300,200,2100
mutant_38.cpp,600,3100,400,500,200,3800
mutant_39.cpp,-1,-1,-1,-1,-1,-1
mutant_4.cpp,600,22000,18500,17500,300,2100
mutant_40.cpp,1500,4500,400,300,200,1900
mutant_41.cpp,1600,57000,38400,36200,300,2000
mutant_42.cpp,500,2800,400,400,400,3900
mutant_43.cpp,600,21500,17400,17900,300,2700
mutant_44.cpp,1100,5700,600,600,400,4300
mutant_46.cpp,600,3200,200,300,300,2500
mutant_48.cpp,1600,5400,400,500,200,2000
mutant_49.cpp,-1,-1,-1,-1,-1,-1
mutant_5.cpp,700,60100,37500,43800,600,7200
mutant_6.cpp,700,2200,500,500,400,3800
mutant_7.cpp,600,21900,16900,20600,200,2100
mutant_8.cpp,600,23800,55400,35600,400,3500
mutant_9.cpp,700,31900,43700,44000,500,5600
