Mutant_File,Mode_1_Seq,Mode_2_Sample,Mode_3_Odd,Mode_4_Even,Mode_5_HeadTail,Mode_6_Middle
mutant_1.cpp,583,4459,3042,2582,166,791
mutant_10.cpp,-1,-1,-1,-1,-1,-1
mutant_11.cpp,876,9333,8792,5458,83,1333
mutant_12.cpp,708,7958,8874,6458,124,3708
mutant_13.cpp,874,5875,4375,5125,250,875
mutant_14.cpp,667,1042,250,375,167,1083
mutant_15.cpp,875,8875,7126,4500,125,959
mutant_16.cpp,-1,-1,-1,-1,-1,-1
mutant_17.cpp,749,4750,3751,5166,10167,792
mutant_18.cpp,750,9333,6667,5417,124,1375
mutant_19.cpp,1124,6209,5583,4291,250,1291
mutant_2.cpp,-1,-1,-1,-1,-1,-1
mutant_20.cpp,833,6584,4792,24251,208,1209
mutant_21.cpp,916,5416,3583,3792,167,917
mutant_22.cpp,708,7833,5750,4166,167,624
mutant_23.cpp,-1,-1,-1,-1,-1,-1
mutant_24.cpp,-1,-1,-1,-1,-1,-1
mutant_25.cpp,-1,-1,-1,-1,-1,-1
mutant_26.cpp,-1,-1,-1,-1,-1,-1
mutant_27.cpp,-1,-1,-1,-1,-1,-1
mutant_28.cpp,-1,-1,-1,-1,-1,-1
mutant_29.cpp,-1,-1,-1,-1,-1,-1
mutant_3.cpp,625,1000,625,417,208,875
mutant_30.cpp,-1,-1,-1,-1,-1,-1
mutant_31.cpp,-1,-1,-1,-1,-1,-1
mutant_32.cpp,-1,-1,-1,-1,-1,-1
mutant_33.cpp,-1,-1,-1,-1,-1,-1
mutant_34.cpp,708,1333,375,458,42,834
mutant_35.cpp,708,1875,458,417,167,750
mutant_38.cpp,667,1125,666,542,500,500
mutant_39.cpp,-1,-1,-1,-1,-1,-1
mutant_4.cpp,501,4457,2583,2292,167,542
mutant_40.cpp,667,2416,334,416,542,833
mutant_41.cpp,708,7793,5249,3834,83,917
mutant_42.cpp,708,1500,875,375,166,1000
mutant_43.cpp,749,10375,18625,5083,166,1416
mutant_44.cpp,833,1666,459,500,334,875
mutant_46.cpp,834,1250,583,458,11208,916
mutant_48.cpp,667,1375,541,375,500,1333
mutant_49.cpp,-1,-1,-1,-1,-1,-1
mutant_5.cpp,709,8083,4375,3500,125,625
mutant_6.cpp,792,1625,500,459,166,792
mutant_7.cpp,458,3708,3041,2333,251,584
mutant_8.cpp,917,7624,5499,3792,82,875
mutant_9.cpp,416,5500,4958,3583,291,667
