Mutant_File,Mode_1_Seq,Mode_2_Sample,Mode_3_Odd,Mode_4_Even,Mode_5_HeadTail,Mode_6_Middle
mutant_1.cpp,1500,7800,7900,6300,400,2400
mutant_10.cpp,-1,-1,-1,-1,-1,-1
mutant_11.cpp,2300,12300,8600,7500,300,800
mutant_12.cpp,1600,7500,8000,9000,100,600
mutant_13.cpp,1800,8300,8200,7600,100,2200
mutant_14.cpp,1200,800,800,900,300,300
mutant_15.cpp,1400,500,6900,9000,300,2400
mutant_16.cpp,-1,-1,-1,-1,-1,-1
mutant_17.cpp,-1,-1,-1,-1,-1,-1
mutant_18.cpp,-1,-1,-1,-1,-1,-1
mutant_19.cpp,1900,29400,10600,9200,300,2600
mutant_2.cpp,-1,-1,-1,-1,-1,-1
mutant_20.cpp,1300,10400,9100,7600,300,300
mutant_21.cpp,2500,9100,16000,8300,400,3500
mutant_22.cpp,2700,11500,12500,9400,200,2700
mutant_23.cpp,-1,-1,-1,-1,-1,-1
mutant_24.cpp,-1,-1,-1,-1,-1,-1
mutant_25.cpp,-1,-1,-1,-1,-1,-1
mutant_26.cpp,-1,-1,-1,-1,-1,-1
mutant_27.cpp,-1,-1,-1,-1,-1,-1
mutant_28.cpp,-1,-1,-1,-1,-1,-1
mutant_29.cpp,-1,-1,-1,-1,-1,-1
mutant_3.cpp,1500,600,700,900,100,700
mutant_30.cpp,-1,-1,-1,-1,-1,-1
mutant_31.cpp,-1,-1,-1,-1,-1,-1
mutant_32.cpp,-1,-1,-1,-1,-1,-1
mutant_33.cpp,-1,-1,-1,-1,-1,-1
mutant_34.cpp,1600,700,900,900,100,500
mutant_35.cpp,1400,600,900,900,100,1400
mutant_38.cpp,1600,700,900,900,200,400
mutant_39.cpp,-1,-1,-1,-1,-1,-1
mutant_4.cpp,1200,6500,5700,5300,600,2300
mutant_40.cpp,1400,500,700,700,200,400
mutant_41.cpp,1200,6400,7200,6500,300,1600
mutant_42.cpp,1100,500,800,800,200,500
mutant_43.cpp,1300,10100,13200,8300,100,2300
mutant_44.cpp,1400,600,700,900,200,500
mutant_46.cpp,1100,500,900,800,300,600
mutant_48.cpp,1500,800,800,800,100,400
mutant_49.cpp,-1,-1,-1,-1,-1,-1
mutant_5.cpp,1200,6900,6800,5500,100,1200
mutant_6.cpp,1200,500,600,700,100,400
mutant_7.cpp,1900,7100,21400,6000,200,1500
mutant_8.cpp,1200,6600,7600,6900,300,1400
mutant_9.cpp,1300,7000,7000,6700,600,1100
