Mutant_File,Mode_1_Seq,Mode_2_Sample,Mode_3_Odd,Mode_4_Even,Mode_5_HeadTail,Mode_6_Middle
mutant_1.cpp,300,18600,17000,16100,35400,2200
mutant_10.cpp,-1,-1,-1,-1,-1,-1
mutant_11.cpp,400,23600,21900,16200,300,1800
mutant_12.cpp,400,32900,17400,17700,300,2100
mutant_13.cpp,500,20500,21100,15600,100,3500
mutant_14.cpp,300,1400,200,700,0,1700
mutant_15.cpp,300,25200,17000,15500,100,2200
mutant_16.cpp,-1,-1,-1,-1,-1,-1
mutant_17.cpp,-1,-1,-1,-1,-1,-1
mutant_18.cpp,-1,-1,-1,-1,-1,-1
mutant_19.cpp,400,25500,21200,16400,200,1600
mutant_2.cpp,-1,-1,-1,-1,-1,-1
mutant_20.cpp,400,18800,19400,19600,100,1600
mutant_21.cpp,8200,24200,27600,22200,300,2500
mutant_22.cpp,500,24400,15200,16500,200,1900
mutant_23.cpp,-1,-1,-1,-1,-1,-1
mutant_24.cpp,-1,-1,-1,-1,-1,-1
mutant_25.cpp,-1,-1,-1,-1,-1,-1
mutant_26.cpp,-1,-1,-1,-1,-1,-1
mutant_27.cpp,-1,-1,-1,-1,-1,-1
mutant_28.cpp,-1,-1,-1,-1,-1,-1
mutant_29.cpp,-1,-1,-1,-1,-1,-1
mutant_3.cpp,500,2300,200,300,100,2100
mutant_30.cpp,-1,-1,-1,-1,-1,-1
mutant_31.cpp,-1,-1,-1,-1,-1,-1
mutant_32.cpp,-1,-1,-1,-1,-1,-1
mutant_33.cpp,-1,-1,-1,-1,-1,-1
mutant_34.cpp,400,2000,300,200,100,1700
mutant_35.cpp,500,2400,200,200,100,3300
mutant_38.cpp,500,1800,200,300,300,2100
mutant_39.cpp,-1,-1,-1,-1,-1,-1
mutant_4.cpp,500,34100,21200,24400,700,2000
mutant_40.cpp,400,2000,300,300,100,2000
mutant_41.cpp,500,28800,28000,33000,200,3200
mutant_42.cpp,400,1800,300,300,100,1700
mutant_43.cpp,500,25800,22500,34700,200,3300
mutant_44.cpp,500,1800,300,300,100,2400
mutant_46.cpp,500,2000,300,300,100,2800
mutant_48.cpp,500,2200,300,300,100,2000
mutant_49.cpp,-1,-1,-1,-1,-1,-1
mutant_5.cpp,600,25900,20600,21100,200,2400
mutant_6.cpp,500,2200,200,200,100,1700
mutant_7.cpp,500,24900,83600,28200,400,1900
mutant_8.cpp,600,32400,29300,23300,200,3300
mutant_9.cpp,500,23800,48500,20500,200,4800
