Mutant_File,Mode_1_Seq,Mode_2_Sample,Mode_3_Odd,Mode_4_Even,Mode_5_HeadTail,Mode_6_Middle
mutant_1.cpp,400,36800,17000,22500,200,1600
mutant_10.cpp,-1,-1,-1,-1,-1,-1
mutant_11.cpp,600,18100,18500,24900,100,2000
mutant_12.cpp,500,26800,18800,14600,200,2000
mutant_13.cpp,400,19700,15600,15600,400,1900
mutant_14.cpp,300,2400,200,100,200,1600
mutant_15.cpp,500,22100,17100,14200,100,6800
mutant_16.cpp,-1,-1,-1,-1,-1,-1
mutant_17.cpp,-1,-1,-1,-1,-1,-1
mutant_18.cpp,-1,-1,-1,-1,-1,-1
mutant_19.cpp,500,16900,20900,22300,100,2500
mutant_2.cpp,-1,-1,-1,-1,-1,-1
mutant_20.cpp,500,17200,13500,16600,100,1800
mutant_21.cpp,400,23900,15400,15300,200,1500
mutant_22.cpp,500,19900,18900,15300,300,1700
mutant_23.cpp,-1,-1,-1,-1,-1,-1
mutant_24.cpp,-1,-1,-1,-1,-1,-1
mutant_25.cpp,-1,-1,-1,-1,-1,-1
mutant_26.cpp,-1,-1,-1,-1,-1,-1
mutant_27.cpp,-1,-1,-1,-1,-1,-1
mutant_28.cpp,-1,-1,-1,-1,-1,-1
mutant_29.cpp,-1,-1,-1,-1,-1,-1
mutant_3.cpp,500,1800,200,1200,100,2300
mutant_30.cpp,-1,-1,-1,-1,-1,-1
mutant_31.cpp,-1,-1,-1,-1,-1,-1
mutant_32.cpp,-1,-1,-1,-1,-1,-1
mutant_33.cpp,-1,-1,-1,-1,-1,-1
mutant_34.cpp,400,1800,300,500,100,1700
mutant_35.cpp,500,2100,200,400,400,1800
mutant_38.cpp,400,1700,200,300,200,2200
mutant_39.cpp,-1,-1,-1,-1,-1,-1
mutant_4.cpp,400,20800,17700,16100,200,1800
mutant_40.cpp,400,2500,300,400,400,1900
mutant_41.cpp,500,20500,40500,15600,200,1800
mutant_42.cpp,400,1800,800,300,100,1400
mutant_43.cpp,500,46500,17800,15700,300,1800
mutant_44.cpp,400,2000,200,300,100,1800
mutant_46.cpp,400,1900,200,200,100,2000
mutant_48.cpp,400,1700,200,300,100,2500
mutant_49.cpp,-1,-1,-1,-1,-1,-1
mutant_5.cpp,500,20100,26300,16700,200,2000
mutant_6.cpp,400,2200,200,200,100,1600
mutant_7.cpp,500,19400,16200,32200,200,2400
mutant_8.cpp,500,19700,16700,17700,200,1700
mutant_9.cpp,500,20900,21500,22800,200,1900
