Mutant_File,Mode_1_Seq,Mode_2_Sample,Mode_3_Odd,Mode_4_Even,Mode_5_HeadTail,Mode_6_Middle
mutant_1.cpp,400,18800,25100,15900,300,2300
mutant_10.cpp,-1,-1,-1,-1,-1,-1
mutant_11.cpp,500,25500,16500,19600,200,2000
mutant_12.cpp,500,26300,23100,20400,200,5900
mutant_13.cpp,600,25500,21800,22200,200,1800
mutant_14.cpp,500,2000,200,200,200,2200
mutant_15.cpp,500,23300,20400,22500,200,2400
mutant_16.cpp,-1,-1,-1,-1,-1,-1
mutant_17.cpp,-1,-1,-1,-1,-1,-1
mutant_18.cpp,-1,-1,-1,-1,-1,-1
mutant_19.cpp,500,17300,14000,58600,100,1700
mutant_2.cpp,-1,-1,-1,-1,-1,-1
mutant_20.cpp,400,19000,18400,22500,200,1400
mutant_21.cpp,500,24200,17100,22300,200,1800
mutant_22.cpp,600,24200,21000,21100,200,1900
mutant_23.cpp,-1,-1,-1,-1,-1,-1
mutant_24.cpp,-1,-1,-1,-1,-1,-1
mutant_25.cpp,-1,-1,-1,-1,-1,-1
mutant_26.cpp,-1,-1,-1,-1,-1,-1
mutant_27.cpp,-1,-1,-1,-1,-1,-1
mutant_28.cpp,-1,-1,-1,-1,-1,-1
mutant_29.cpp,-1,-1,-1,-1,-1,-1
mutant_3.cpp,500,1700,200,300,100,1900
mutant_30.cpp,-1,-1,-1,-1,-1,-1
mutant_31.cpp,-1,-1,-1,-1,-1,-1
mutant_32.cpp,-1,-1,-1,-1,-1,-1
mutant_33.cpp,-1,-1,-1,-1,-1,-1
mutant_34.cpp,400,1600,300,500,100,1600
mutant_35.cpp,400,2100,200,200,100,1600
mutant_38.cpp,400,1600,200,200,100,1500
mutant_39.cpp,-1,-1,-1,-1,-1,-1
mutant_4.cpp,500,19100,17300,23600,200,1700
mutant_40.cpp,400,1800,200,400,400,1700
mutant_41.cpp,400,21400,18200,17200,200,2600
mutant_42.cpp,400,1800,200,300,100,1500
mutant_43.cpp,400,21500,31100,17100,200,1500
mutant_44.cpp,400,2100,200,200,100,3300
mutant_46.cpp,400,1600,300,300,100,1900
mutant_48.cpp,500,2200,200,300,200,2000
mutant_49.cpp,-1,-1,-1,-1,-1,-1
mutant_5.cpp,600,23200,19500,21600,200,2800
mutant_6.cpp,500,2100,200,300,200,1900
mutant_7.cpp,500,19500,21200,15500,1300,1700
mutant_8.cpp,400,19500,16700,17600,100,3400
mutant_9.cpp,500,19000,16000,17500,200,1700
