Mutant_File,Mode_1_Seq,Mode_2_Sample,Mode_3_Odd,Mode_4_Even,Mode_5_HeadTail,Mode_6_Middle
mutant_1.cpp,500,28800,16700,18500,100,1700
mutant_10.cpp,-1,-1,-1,-1,-1,-1
mutant_11.cpp,500,25000,24400,19400,400,1800
mutant_12.cpp,500,20500,18400,25100,200,2100
mutant_13.cpp,600,25100,21400,21800,300,1900
mutant_14.cpp,500,3400,200,200,200,2800
mutant_15.cpp,500,24100,19700,79700,100,4100
mutant_16.cpp,-1,-1,-1,-1,-1,-1
mutant_17.cpp,-1,-1,-1,-1,-1,-1
mutant_18.cpp,-1,-1,-1,-1,-1,-1
mutant_19.cpp,400,19300,20000,32400,100,1700
mutant_2.cpp,-1,-1,-1,-1,-1,-1
mutant_20.cpp,400,25200,20700,15700,200,1400
mutant_21.cpp,600,24600,19800,21400,200,2400
mutant_22.cpp,600,23400,18300,18800,200,2200
mutant_23.cpp,-1,-1,-1,-1,-1,-1
mutant_24.cpp,-1,-1,-1,-1,-1,-1
mutant_25.cpp,-1,-1,-1,-1,-1,-1
mutant_26.cpp,-1,-1,-1,-1,-1,-1
mutant_27.cpp,-1,-1,-1,-1,-1,-1
mutant_28.cpp,-1,-1,-1,-1,-1,-1
mutant_29.cpp,-1,-1,-1,-1,-1,-1
mutant_3.cpp,500,2200,200,300,100,1900
mutant_30.cpp,-1,-1,-1,-1,-1,-1
mutant_31.cpp,-1,-1,-1,-1,-1,-1
mutant_32.cpp,-1,-1,-1,-1,-1,-1
mutant_33.cpp,-1,-1,-1,-1,-1,-1
mutant_34.cpp,600,1900,400,300,100,2200
mutant_35.cpp,600,4300,400,200,400,5200
mutant_38.cpp,600,2200,200,400,300,3800
mutant_39.cpp,-1,-1,-1,-1,-1,-1
mutant_4.cpp,600,28000,23500,39000,200,2200
mutant_40.cpp,500,1900,300,200,600,2200
mutant_41.cpp,500,30700,20400,18000,400,2400
mutant_42.cpp,500,2000,300,200,100,2400
mutant_43.cpp,600,24900,20700,28400,300,1900
mutant_44.cpp,500,2000,400,300,200,2500
mutant_46.cpp,500,1800,300,200,100,1900
mutant_48.cpp,500,2200,300,500,300,2000
mutant_49.cpp,-1,-1,-1,-1,-1,-1
mutant_5.cpp,500,25100,22300,20500,200,3900
mutant_6.cpp,500,2100,200,200,100,2000
mutant_7.cpp,500,24300,22000,19400,400,3200
mutant_8.cpp,600,33700,24500,36600,200,4200
mutant_9.cpp,700,22500,18100,21300,200,1900
