Mutant_File,Mode_1_Seq,Mode_2_Sample,Mode_3_Odd,Mode_4_Even,Mode_5_HeadTail,Mode_6_Middle
mutant_1.cpp,400,25900,16700,38200,600,3900
mutant_10.cpp,-1,-1,-1,-1,-1,-1
mutant_11.cpp,500,41200,36100,19900,200,2000
mutant_12.cpp,600,28600,25900,23100,300,2300
mutant_13.cpp,500,34900,53000,22500,200,2200
mutant_14.cpp,500,1800,200,300,200,2300
mutant_15.cpp,600,22400,20800,22400,200,2100
mutant_16.cpp,-1,-1,-1,-1,-1,-1
mutant_17.cpp,-1,-1,-1,-1,-1,-1
mutant_18.cpp,-1,-1,-1,-1,-1,-1
mutant_19.cpp,400,25300,16100,18400,300,1600
mutant_2.cpp,-1,-1,-1,-1,-1,-1
mutant_20.cpp,700,20700,16200,22600,200,1700
mutant_21.cpp,400,20800,15500,15300,0,1500
mutant_22.cpp,500,19600,19300,14600,200,1500
mutant_23.cpp,-1,-1,-1,-1,-1,-1
mutant_24.cpp,-1,-1,-1,-1,-1,-1
mutant_25.cpp,-1,-1,-1,-1,-1,-1
mutant_26.cpp,-1,-1,-1,-1,-1,-1
mutant_27.cpp,-1,-1,-1,-1,-1,-1
mutant_28.cpp,-1,-1,-1,-1,-1,-1
mutant_29.cpp,-1,-1,-1,-1,-1,-1
mutant_3.cpp,400,1700,300,300,200,2300
mutant_30.cpp,-1,-1,-1,-1,-1,-1
mutant_31.cpp,-1,-1,-1,-1,-1,-1
mutant_32.cpp,-1,-1,-1,-1,-1,-1
mutant_33.cpp,-1,-1,-1,-1,-1,-1
mutant_34.cpp,500,2300,200,200,100,2600
mutant_35.cpp,500,2200,300,200,100,1700
mutant_38.cpp,1100,2400,400,500,400,3000
mutant_39.cpp,-1,-1,-1,-1,-1,-1
mutant_4.cpp,500,26200,16900,20900,200,1500
mutant_40.cpp,600,2100,200,400,200,1900
mutant_41.cpp,500,23400,18400,32500,200,1800
mutant_42.cpp,500,2100,200,300,500,1800
mutant_43.cpp,600,23100,22100,20400,200,15000
mutant_44.cpp,600,2000,300,200,100,2300
mutant_46.cpp,500,2100,300,300,200,36500
mutant_48.cpp,500,2100,500,400,300,2000
mutant_49.cpp,-1,-1,-1,-1,-1,-1
mutant_5.cpp,500,25000,26500,21200,200,1900
mutant_6.cpp,600,2300,200,300,200,1800
mutant_7.cpp,600,23700,21200,20900,300,1800
mutant_8.cpp,500,26500,21400,22400,200,2000
mutant_9.cpp,500,25200,26300,19500,300,2300
