Mutant_File,Mode_1_Seq,Mode_2_Sample,Mode_3_Odd,Mode_4_Even,Mode_5_HeadTail,Mode_6_Middle
mutant_1.cpp,800,64700,42300,64100,100,1900
mutant_10.cpp,-1,-1,-1,-1,-1,-1
mutant_11.cpp,300,19300,18400,133000,1100,1700
mutant_12.cpp,400,20600,16900,15000,100,2100
mutant_13.cpp,300,21400,18100,25700,500,2500
mutant_14.cpp,400,1700,100,200,100,2400
mutant_15.cpp,600,33100,33300,23300,200,2100
mutant_16.cpp,-1,-1,-1,-1,-1,-1
mutant_17.cpp,400,29400,67300,26600,200,9600
mutant_18.cpp,500,28800,19600,48400,100,2200
mutant_19.cpp,600,33800,24400,22900,300,2200
mutant_2.cpp,-1,-1,-1,-1,-1,-1
mutant_20.cpp,400,25900,15600,17200,2400,1500
mutant_21.cpp,500,26800,46400,16700,200,3200
mutant_22.cpp,600,40100,21600,20900,300,2100
mutant_23.cpp,-1,-1,-1,-1,-1,-1
mutant_24.cpp,-1,-1,-1,-1,-1,-1
mutant_25.cpp,-1,-1,-1,-1,-1,-1
mutant_26.cpp,-1,-1,-1,-1,-1,-1
mutant_27.cpp,-1,-1,-1,-1,-1,-1
mutant_28.cpp,-1,-1,-1,-1,-1,-1
mutant_29.cpp,-1,-1,-1,-1,-1,-1
mutant_3.cpp,400,2200,200,200,400,2100
mutant_30.cpp,-1,-1,-1,-1,-1,-1
mutant_31.cpp,-1,-1,-1,-1,-1,-1
mutant_32.cpp,-1,-1,-1,-1,-1,-1
mutant_33.cpp,-1,-1,-1,-1,-1,-1
mutant_34.cpp,600,2000,200,600,500,3000
mutant_35.cpp,500,1900,300,200,100,2100
mutant_38.cpp,400,1800,200,100,200,2400
mutant_39.cpp,-1,-1,-1,-1,-1,-1
mutant_4.cpp,500,23300,17900,20300,200,2400
mutant_40.cpp,500,2000,300,800,400,2800
mutant_41.cpp,500,25600,18700,30900,200,1900
mutant_42.cpp,500,3300,300,300,100,1700
mutant_43.cpp,600,28800,19500,19800,300,1900
mutant_44.cpp,600,2600,300,600,300,3100
mutant_46.cpp,500,1900,200,200,100,2300
mutant_48.cpp,500,1800,300,300,100,2700
mutant_49.cpp,-1,-1,-1,-1,-1,-1
mutant_5.cpp,900,51400,46300,54000,200,4200
mutant_6.cpp,600,2300,300,300,100,3200
mutant_7.cpp,800,33200,22800,23100,300,4200
mutant_8.cpp,700,70700,26700,33400,400,5000
mutant_9.cpp,600,21200,18700,20400,200,2400
