Mutant_File,Mode_1_Seq,Mode_2_Sample,Mode_3_Odd,Mode_4_Even,Mode_5_HeadTail,Mode_6_Middle
mutant_1.cpp,1041,8250,4125,3583,84,917
mutant_10.cpp,-1,-1,-1,-1,-1,-1
mutant_11.cpp,375,3292,2708,2958,83,416
mutant_12.cpp,875,7958,6041,5292,126,958
mutant_13.cpp,750,9916,4958,4083,250,917
mutant_14.cpp,708,500,167,292,83,666
mutant_15.cpp,875,9416,20791,14999,125,1000
mutant_16.cpp,-1,-1,-1,-1,-1,-1
mutant_17.cpp,1251,7375,8125,5000,125,1584
mutant_18.cpp,666,10959,7459,17666,334,667
mutant_19.cpp,708,8209,4124,4250,125,1083
mutant_2.cpp,-1,-1,-1,-1,-1,-1
mutant_20.cpp,750,8625,13750,4084,208,500
mutant_21.cpp,750,8375,1875,1750,42,750
mutant_22.cpp,459,3583,2750,2208,82,500
mutant_23.cpp,-1,-1,-1,-1,-1,-1
mutant_24.cpp,-1,-1,-1,-1,-1,-1
mutant_25.cpp,-1,-1,-1,-1,-1,-1
mutant_26.cpp,-1,-1,-1,-1,-1,-1
mutant_27.cpp,-1,-1,-1,-1,-1,-1
mutant_28.cpp,-1,-1,-1,-1,-1,-1
mutant_29.cpp,-1,-1,-1,-1,-1,-1
mutant_3.cpp,750,1250,458,500,334,625
mutant_30.cpp,-1,-1,-1,-1,-1,-1
mutant_31.cpp,-1,-1,-1,-1,-1,-1
mutant_32.cpp,-1,-1,-1,-1,-1,-1
mutant_33.cpp,-1,-1,-1,-1,-1,-1
mutant_34.cpp,500,917,334,292,84,708
mutant_35.cpp,666,1250,583,709,125,500
mutant_38.cpp,875,1791,708,375,334,792
mutant_39.cpp,-1,-1,-1,-1,-1,-1
mutant_4.cpp,875,6166,4333,4042,125,1042
mutant_40.cpp,791,1917,583,417,291,750
mutant_41.cpp,917,7541,5000,3666,208,1001
mutant_42.cpp,750,1625,750,375,208,1000
mutant_43.cpp,918,9750,6791,5125,125,876
mutant_44.cpp,709,1416,417,458,208,500
mutant_46.cpp,666,3167,458,542,500,1375
mutant_48.cpp,708,1417,458,292,333,666
mutant_49.cpp,-1,-1,-1,-1,-1,-1
mutant_5.cpp,458,3583,2625,2583,84,375
mutant_6.cpp,667,1375,667,625,250,1291
mutant_7.cpp,708,6084,3791,4333,333,959
mutant_8.cpp,876,4208,3208,1833,42,667
mutant_9.cpp,708,8042,5334,4124,125,1124
