Mutant_File,Mode_1_Seq,Mode_2_Sample,Mode_3_Odd,Mode_4_Even,Mode_5_HeadTail,Mode_6_Middle
mutant_1.cpp,1800,10300,7200,23100,200,2000
mutant_10.cpp,-1,-1,-1,-1,-1,-1
mutant_11.cpp,1500,11800,8900,13700,400,500
mutant_12.cpp,2100,20100,8900,13000,200,10600
mutant_13.cpp,1500,9100,7100,7700,100,2700
mutant_14.cpp,1400,600,900,800,100,400
mutant_15.cpp,2300,13500,12600,7500,300,500
mutant_16.cpp,-1,-1,-1,-1,-1,-1
mutant_17.cpp,-1,-1,-1,-1,-1,-1
mutant_18.cpp,-1,-1,-1,-1,-1,-1
mutant_19.cpp,3300,13600,8000,7300,200,2300
mutant_2.cpp,-1,-1,-1,-1,-1,-1
mutant_20.cpp,2500,9100,6800,6300,300,2400
mutant_21.cpp,2600,10100,8500,7500,300,2700
mutant_22.cpp,1300,8600,9300,8000,100,2100
mutant_23.cpp,-1,-1,-1,-1,-1,-1
mutant_24.cpp,-1,-1,-1,-1,-1,-1
mutant_25.cpp,-1,-1,-1,-1,-1,-1
mutant_26.cpp,-1,-1,-1,-1,-1,-1
mutant_27.cpp,-1,-1,-1,-1,-1,-1
mutant_28.cpp,-1,-1,-1,-1,-1,-1
mutant_29.cpp,-1,-1,-1,-1,-1,-1
mutant_3.cpp,1500,700,900,800,100,400
mutant_30.cpp,-1,-1,-1,-1,-1,-1
mutant_31.cpp,-1,-1,-1,-1,-1,-1
mutant_32.cpp,-1,-1,-1,-1,-1,-1
mutant_33.cpp,-1,-1,-1,-1,-1,-1
mutant_34.cpp,1200,500,600,700,100,300
mutant_35.cpp,1600,700,900,900,100,500
mutant_38.cpp,1200,500,600,600,200,400
mutant_39.cpp,-1,-1,-1,-1,-1,-1
mutant_4.cpp,1200,6500,7100,5900,200,1300
mutant_40.cpp,1100,600,600,800,400,500
mutant_41.cpp,1200,6200,6800,5700,200,1000
mutant_42.cpp,1100,600,800,1100,200,500
mutant_43.cpp,2500,9600,7100,6400,300,900
mutant_44.cpp,1100,600,900,900,100,600
mutant_46.cpp,1500,700,900,1000,100,400
mutant_48.cpp,1100,600,600,700,100,300
mutant_49.cpp,-1,-1,-1,-1,-1,-1
mutant_5.cpp,2000,6800,5900,6700,200,700
mutant_6.cpp,1100,500,700,900,100,400
mutant_7.cpp,2600,6400,6300,5500,200,2800
mutant_8.cpp,1900,7700,7200,7300,0,1600
mutant_9.cpp,1500,7200,5700,7600,300,1800
