Mutant_File,Mode_1_Seq,Mode_2_Sample,Mode_3_Odd,Mode_4_Even,Mode_5_HeadTail,Mode_6_Middle
mutant_1.cpp,600,19400,16900,18900,300,2000
mutant_10.cpp,-1,-1,-1,-1,-1,-1
mutant_11.cpp,700,19500,15700,16800,200,2100
mutant_12.cpp,500,19700,17300,19200,300,2100
mutant_13.cpp,600,21600,17900,17600,200,2000
mutant_14.cpp,500,5400,400,400,200,2000
mutant_15.cpp,600,31600,36600,50900,200,1900
mutant_16.cpp,-1,-1,-1,-1,-1,-1
mutant_17.cpp,-1,-1,-1,-1,-1,-1
mutant_18.cpp,-1,-1,-1,-1,-1,-1
mutant_19.cpp,500,27800,16800,17200,300,2000
mutant_2.cpp,-1,-1,-1,-1,-1,-1
mutant_20.cpp,900,31300,22700,20800,300,2100
mutant_21.cpp,1200,58600,44000,50700,600,4200
mutant_22.cpp,500,27800,31600,28700,400,2300
mutant_23.cpp,-1,-1,-1,-1,-1,-1
mutant_24.cpp,-1,-1,-1,-1,-1,-1
mutant_25.cpp,-1,-1,-1,-1,-1,-1
mutant_26.cpp,-1,-1,-1,-1,-1,-1
mutant_27.cpp,-1,-1,-1,-1,-1,-1
mutant_28.cpp,-1,-1,-1,-1,-1,-1
mutant_29.cpp,-1,-1,-1,-1,-1,-1
mutant_3.cpp,800,4000,600,600,200,1900
mutant_30.cpp,-1,-1,-1,-1,-1,-1
mutant_31.cpp,-1,-1,-1,-1,-1,-1
mutant_32.cpp,-1,-1,-1,-1,-1,-1
mutant_33.cpp,-1,-1,-1,-1,-1,-1
mutant_34.cpp,400,2000,300,200,100,1800
mutant_35.cpp,700,2900,300,500,300,2000
mutant_38.cpp,1400,5800,700,700,500,2800
mutant_39.cpp,-1,-1,-1,-1,-1,-1
mutant_4.cpp,400,22900,19700,17700,300,1900
mutant_40.cpp,600,2300,300,300,200,1900
mutant_41.cpp,1700,24500,21700,18300,300,2000
mutant_42.cpp,1500,5500,700,700,300,2800
mutant_43.cpp,600,20900,17700,18100,200,1900
mutant_44.cpp,500,2300,300,300,200,2000
mutant_46.cpp,700,4400,600,600,400,4200
mutant_48.cpp,600,2000,300,200,400,2000
mutant_49.cpp,-1,-1,-1,-1,-1,-1
mutant_5.cpp,700,20900,18100,19600,200,2000
mutant_6.cpp,900,5500,200,300,200,1700
mutant_7.cpp,600,20400,18400,17300,400,2100
mutant_8.cpp,400,21500,18700,19600,400,39200
mutant_9.cpp,900,60000,44800,34200,500,4100
