Mutant_File,Mode_1_Seq,Mode_2_Sample,Mode_3_Odd,Mode_4_Even,Mode_5_HeadTail,Mode_6_Middle
mutant_1.cpp,500,49500,16900,42000,500,10700
mutant_10.cpp,-1,-1,-1,-1,-1,-1
mutant_11.cpp,300,31100,44700,44100,100,3200
mutant_12.cpp,500,22200,26500,19300,200,4400
mutant_13.cpp,500,19500,16700,20600,100,1900
mutant_14.cpp,500,1900,300,200,100,2100
mutant_15.cpp,500,25100,22100,30900,200,2200
mutant_16.cpp,-1,-1,-1,-1,-1,-1
mutant_17.cpp,-1,-1,-1,-1,-1,-1
mutant_18.cpp,-1,-1,-1,-1,-1,-1
mutant_19.cpp,400,66400,16600,15600,200,1900
mutant_2.cpp,-1,-1,-1,-1,-1,-1
mutant_20.cpp,400,21700,15500,28400,200,1800
mutant_21.cpp,500,24400,85200,30300,200,1600
mutant_22.cpp,400,20900,15700,19700,200,1600
mutant_23.cpp,-1,-1,-1,-1,-1,-1
mutant_24.cpp,-1,-1,-1,-1,-1,-1
mutant_25.cpp,-1,-1,-1,-1,-1,-1
mutant_26.cpp,-1,-1,-1,-1,-1,-1
mutant_27.cpp,-1,-1,-1,-1,-1,-1
mutant_28.cpp,-1,-1,-1,-1,-1,-1
mutant_29.cpp,-1,-1,-1,-1,-1,-1
mutant_3.cpp,500,1900,300,800,100,2900
mutant_30.cpp,-1,-1,-1,-1,-1,-1
mutant_31.cpp,-1,-1,-1,-1,-1,-1
mutant_32.cpp,-1,-1,-1,-1,-1,-1
mutant_33.cpp,-1,-1,-1,-1,-1,-1
mutant_34.cpp,500,2400,300,200,400,2800
mutant_35.cpp,500,2500,200,300,100,2100
mutant_38.cpp,400,1700,200,400,100,1500
mutant_39.cpp,-1,-1,-1,-1,-1,-1
mutant_4.cpp,500,24400,20900,19700,200,2100
mutant_40.cpp,400,2100,200,300,100,2000
mutant_41.cpp,500,24500,18500,20400,200,2000
mutant_42.cpp,500,2300,100,300,300,2100
mutant_43.cpp,500,22100,15900,16300,200,2000
mutant_44.cpp,400,2000,100,300,100,2100
mutant_46.cpp,500,2500,200,300,100,4000
mutant_48.cpp,500,2200,200,400,200,1800
mutant_49.cpp,-1,-1,-1,-1,-1,-1
mutant_5.cpp,600,23600,21900,18800,200,2000
mutant_6.cpp,500,1600,300,200,100,1700
mutant_7.cpp,500,26200,21100,21700,17300,2300
mutant_8.cpp,500,21500,19400,19800,200,2500
mutant_9.cpp,400,22600,18900,19100,200,1900
