Mutant_File,Mode_1_Seq,Mode_2_Sample,Mode_3_Odd,Mode_4_Even,Mode_5_HeadTail,Mode_6_Middle
mutant_1.cpp,400,43000,21200,24500,100,2000
mutant_10.cpp,-1,-1,-1,-1,-1,-1
mutant_11.cpp,400,19400,19000,20800,100,1800
mutant_12.cpp,500,31100,17600,17600,200,4200
mutant_13.cpp,400,28200,17200,16600,200,1600
mutant_14.cpp,400,1500,200,100,200,2000
mutant_15.cpp,500,22600,15600,15700,200,1700
mutant_16.cpp,-1,-1,-1,-1,-1,-1
mutant_17.cpp,-1,-1,-1,-1,-1,-1
mutant_18.cpp,-1,-1,-1,-1,-1,-1
mutant_19.cpp,400,82100,75000,16400,200,1400
mutant_2.cpp,-1,-1,-1,-1,-1,-1
mutant_20.cpp,400,17500,16100,19100,100,1700
mutant_21.cpp,500,36200,19800,18500,200,1900
mutant_22.cpp,400,21300,17300,18000,100,1600
mutant_23.cpp,-1,-1,-1,-1,-1,-1
mutant_24.cpp,-1,-1,-1,-1,-1,-1
mutant_25.cpp,-1,-1,-1,-1,-1,-1
mutant_26.cpp,-1,-1,-1,-1,-1,-1
mutant_27.cpp,-1,-1,-1,-1,-1,-1
mutant_28.cpp,-1,-1,-1,-1,-1,-1
mutant_29.cpp,-1,-1,-1,-1,-1,-1
mutant_3.cpp,500,2700,300,200,100,4400
mutant_30.cpp,-1,-1,-1,-1,-1,-1
mutant_31.cpp,-1,-1,-1,-1,-1,-1
mutant_32.cpp,-1,-1,-1,-1,-1,-1
mutant_33.cpp,-1,-1,-1,-1,-1,-1
mutant_34.cpp,500,1800,200,200,200,2300
mutant_35.cpp,500,1700,200,300,100,1900
mutant_38.cpp,600,2100,200,300,100,1500
mutant_39.cpp,-1,-1,-1,-1,-1,-1
mutant_4.cpp,500,24800,19800,21000,200,3800
mutant_40.cpp,400,1900,300,300,100,1700
mutant_41.cpp,500,24500,20800,18400,300,1700
mutant_42.cpp,400,1700,200,200,100,1700
mutant_43.cpp,500,19800,16300,16500,200,1900
mutant_44.cpp,500,2300,300,200,100,2400
mutant_46.cpp,400,1700,200,200,300,1600
mutant_48.cpp,400,1600,200,300,100,2100
mutant_49.cpp,-1,-1,-1,-1,-1,-1
mutant_5.cpp,500,23200,20200,20400,200,2000
mutant_6.cpp,500,2000,200,200,300,1900
mutant_7.cpp,400,18900,18400,18800,200,1800
mutant_8.cpp,500,21000,18000,18100,200,2900
mutant_9.cpp,500,26100,45200,18200,200,2000
