Mutant_File,Mode_1_Seq,Mode_2_Sample,Mode_3_Odd,Mode_4_Even,Mode_5_HeadTail,Mode_6_Middle
mutant_1.cpp,500,18400,21600,21900,300,1900
mutant_10.cpp,-1,-1,-1,-1,-1,-1
mutant_11.cpp,600,59700,63100,18800,200,2700
mutant_12.cpp,500,23800,26000,37000,200,1400
mutant_13.cpp,400,17900,17100,29500,100,1800
mutant_14.cpp,400,2200,200,200,100,1700
mutant_15.cpp,400,35200,52800,19400,400,9600
mutant_16.cpp,-1,-1,-1,-1,-1,-1
mutant_17.cpp,-1,-1,-1,-1,-1,-1
mutant_18.cpp,-1,-1,-1,-1,-1,-1
mutant_19.cpp,400,20100,16800,15400,100,1500
mutant_2.cpp,-1,-1,-1,-1,-1,-1
mutant_20.cpp,400,18100,20100,17900,200,1900
mutant_21.cpp,500,20000,16600,16300,100,2200
mutant_22.cpp,500,24900,17000,18200,100,1600
mutant_23.cpp,-1,-1,-1,-1,-1,-1
mutant_24.cpp,-1,-1,-1,-1,-1,-1
mutant_25.cpp,-1,-1,-1,-1,-1,-1
mutant_26.cpp,-1,-1,-1,-1,-1,-1
mutant_27.cpp,-1,-1,-1,-1,-1,-1
mutant_28.cpp,-1,-1,-1,-1,-1,-1
mutant_29.cpp,-1,-1,-1,-1,-1,-1
mutant_3.cpp,500,2300,200,200,100,1900
mutant_30.cpp,-1,-1,-1,-1,-1,-1
mutant_31.cpp,-1,-1,-1,-1,-1,-1
mutant_32.cpp,-1,-1,-1,-1,-1,-1
mutant_33.cpp,-1,-1,-1,-1,-1,-1
mutant_34.cpp,500,2500,300,200,500,2100
mutant_35.cpp,500,1800,200,200,100,1700
mutant_38.cpp,600,1800,300,100,200,2600
mutant_39.cpp,-1,-1,-1,-1,-1,-1
mutant_4.cpp,500,25400,20300,22400,200,2200
mutant_40.cpp,500,2000,200,400,100,2000
mutant_41.cpp,500,26900,21300,24100,200,1900
mutant_42.cpp,600,2000,200,200,200,1700
mutant_43.cpp,500,26400,36300,21900,100,2000
mutant_44.cpp,500,2100,200,200,100,2900
mutant_46.cpp,500,1800,200,600,100,2800
mutant_48.cpp,400,2100,200,300,200,1800
mutant_49.cpp,-1,-1,-1,-1,-1,-1
mutant_5.cpp,600,29700,22300,29100,100,2400
mutant_6.cpp,500,2100,200,900,200,1900
mutant_7.cpp,600,25500,20500,20600,200,2100
mutant_8.cpp,600,23600,19300,20300,200,2000
mutant_9.cpp,600,26700,23400,25800,400,2900
