Mutant_File,Mode_1_Seq,Mode_2_Sample,Mode_3_Odd,Mode_4_Even,Mode_5_HeadTail,Mode_6_Middle
mutant_1.cpp,700,20300,17900,18300,200,2000
mutant_10.cpp,-1,-1,-1,-1,-1,-1
mutant_11.cpp,400,27100,18100,18800,300,2300
mutant_12.cpp,500,22500,18600,18100,200,2000
mutant_13.cpp,700,28900,20800,18000,300,7300
mutant_14.cpp,600,2100,300,300,200,2200
mutant_15.cpp,600,21100,18300,18400,300,2300
mutant_16.cpp,-1,-1,-1,-1,-1,-1
mutant_17.cpp,-1,-1,-1,-1,-1,-1
mutant_18.cpp,-1,-1,-1,-1,-1,-1
mutant_19.cpp,500,21500,17800,17600,300,2100
mutant_2.cpp,-1,-1,-1,-1,-1,-1
mutant_20.cpp,1100,31100,65800,38600,300,2700
mutant_21.cpp,600,21900,17000,17400,300,2300
mutant_22.cpp,500,22700,17300,18000,300,2100
mutant_23.cpp,-1,-1,-1,-1,-1,-1
mutant_24.cpp,-1,-1,-1,-1,-1,-1
mutant_25.cpp,-1,-1,-1,-1,-1,-1
mutant_26.cpp,-1,-1,-1,-1,-1,-1
mutant_27.cpp,-1,-1,-1,-1,-1,-1
mutant_28.cpp,-1,-1,-1,-1,-1,-1
mutant_29.cpp,-1,-1,-1,-1,-1,-1
mutant_3.cpp,1500,2100,600,300,200,5100
mutant_30.cpp,-1,-1,-1,-1,-1,-1
mutant_31.cpp,-1,-1,-1,-1,-1,-1
mutant_32.cpp,-1,-1,-1,-1,-1,-1
mutant_33.cpp,-1,-1,-1,-1,-1,-1
mutant_34.cpp,500,2100,300,200,200,1900
mutant_35.cpp,900,3000,300,500,200,1900
mutant_38.cpp,1400,3800,500,200,200,1900
mutant_39.cpp,-1,-1,-1,-1,-1,-1
mutant_4.cpp,900,34800,32900,17300,100,2100
mutant_40.cpp,500,2100,300,200,200,1900
mutant_41.cpp,500,59500,18300,27200,400,37600
mutant_42.cpp,1600,2100,300,300,300,2000
mutant_43.cpp,1400,47300,39600,22200,100,2100
mutant_44.cpp,500,2100,200,200,200,2100
mutant_46.cpp,1600,5100,700,800,300,3500
mutant_48.cpp,1600,5900,700,700,300,2800
mutant_49.cpp,-1,-1,-1,-1,-1,-1
mutant_5.cpp,700,64200,18100,16400,200,2000
mutant_6.cpp,500,2300,200,300,200,2400
mutant_7.cpp,800,30900,18500,17700,300,2100
mutant_8.cpp,1500,36600,25800,16400,100,2100
mutant_9.cpp,1600,50100,46600,37600,300,3600
