Mutant_File,Mode_1_Seq,Mode_2_Sample,Mode_3_Odd,Mode_4_Even,Mode_5_HeadTail,Mode_6_Middle
mutant_1.cpp,400,17700,17200,16100,200,1800
mutant_10.cpp,-1,-1,-1,-1,-1,-1
mutant_11.cpp,400,18300,18400,17300,200,1800
mutant_12.cpp,400,20000,17500,15800,300,1500
mutant_13.cpp,400,22200,22000,24500,200,1500
mutant_14.cpp,400,1600,200,100,100,1500
mutant_15.cpp,500,29500,27400,15100,200,1800
mutant_16.cpp,-1,-1,-1,-1,-1,-1
mutant_17.cpp,400,31600,22500,26400,300,1800
mutant_18.cpp,500,19900,16000,18400,200,2000
mutant_19.cpp,400,19500,15500,16800,200,1500
mutant_2.cpp,-1,-1,-1,-1,-1,-1
mutant_20.cpp,500,24900,24700,16400,100,2100
mutant_21.cpp,400,18900,17200,32500,100,2200
mutant_22.cpp,400,27100,32000,16400,100,2100
mutant_23.cpp,-1,-1,-1,-1,-1,-1
mutant_24.cpp,-1,-1,-1,-1,-1,-1
mutant_25.cpp,-1,-1,-1,-1,-1,-1
mutant_26.cpp,-1,-1,-1,-1,-1,-1
mutant_27.cpp,-1,-1,-1,-1,-1,-1
mutant_28.cpp,-1,-1,-1,-1,-1,-1
mutant_29.cpp,-1,-1,-1,-1,-1,-1
mutant_3.cpp,500,1900,200,400,100,1900
mutant_30.cpp,-1,-1,-1,-1,-1,-1
mutant_31.cpp,-1,-1,-1,-1,-1,-1
mutant_32.cpp,-1,-1,-1,-1,-1,-1
mutant_33.cpp,-1,-1,-1,-1,-1,-1
mutant_34.cpp,400,2000,700,500,100,2200
mutant_35.cpp,400,1900,200,200,100,2400
mutant_38.cpp,500,1700,200,200,300,2200
mutant_39.cpp,-1,-1,-1,-1,-1,-1
mutant_4.cpp,400,25000,19800,53500,200,3100
mutant_40.cpp,500,1900,300,300,200,1700
mutant_41.cpp,500,23500,18100,20400,200,2600
mutant_42.cpp,400,1800,200,200,200,1600
mutant_43.cpp,500,23000,20100,19100,200,2400
mutant_44.cpp,500,1700,200,100,100,1800
mutant_46.cpp,400,1600,200,200,100,1800
mutant_48.cpp,400,1600,300,400,100,1600
mutant_49.cpp,-1,-1,-1,-1,-1,-1
mutant_5.cpp,500,26600,22400,20600,200,1900
mutant_6.cpp,500,1900,300,300,100,1700
mutant_7.cpp,500,22400,19100,18800,100,1800
mutant_8.cpp,500,22900,19000,22400,200,2100
mutant_9.cpp,400,26900,18100,18300,100,1900
