Mutant_File,Mode_1_Seq,Mode_2_Sample,Mode_3_Odd,Mode_4_Even,Mode_5_HeadTail,Mode_6_Middle
mutant_1.cpp,600,73500,17600,25000,200,3700
mutant_10.cpp,-1,-1,-1,-1,-1,-1
mutant_11.cpp,400,20000,15200,17100,200,2900
mutant_12.cpp,600,33600,22300,20200,200,2100
mutant_13.cpp,700,24200,20300,21600,400,2800
mutant_14.cpp,500,2000,300,300,100,3300
mutant_15.cpp,600,30600,93300,20200,200,2300
mutant_16.cpp,-1,-1,-1,-1,-1,-1
mutant_17.cpp,-1,-1,-1,-1,-1,-1
mutant_18.cpp,-1,-1,-1,-1,-1,-1
mutant_19.cpp,500,17000,16100,21800,200,2500
mutant_2.cpp,-1,-1,-1,-1,-1,-1
mutant_20.cpp,400,17300,15600,15200,200,1700
mutant_21.cpp,300,16300,15100,20500,100,1600
mutant_22.cpp,500,18400,17600,19000,300,2000
mutant_23.cpp,-1,-1,-1,-1,-1,-1
mutant_24.cpp,-1,-1,-1,-1,-1,-1
mutant_25.cpp,-1,-1,-1,-1,-1,-1
mutant_26.cpp,-1,-1,-1,-1,-1,-1
mutant_27.cpp,-1,-1,-1,-1,-1,-1
mutant_28.cpp,-1,-1,-1,-1,-1,-1
mutant_29.cpp,-1,-1,-1,-1,-1,-1
mutant_3.cpp,500,2100,200,200,200,2600
mutant_30.cpp,-1,-1,-1,-1,-1,-1
mutant_31.cpp,-1,-1,-1,-1,-1,-1
mutant_32.cpp,-1,-1,-1,-1,-1,-1
mutant_33.cpp,-1,-1,-1,-1,-1,-1
mutant_34.cpp,500,2000,200,200,200,1500
mutant_35.cpp,500,1800,300,200,100,2300
mutant_38.cpp,500,1800,200,300,200,1900
mutant_39.cpp,-1,-1,-1,-1,-1,-1
mutant_4.cpp,500,24300,21100,20600,200,2300
mutant_40.cpp,500,2000,300,300,100,1700
mutant_41.cpp,500,23200,21600,20800,200,2300
mutant_42.cpp,600,1900,200,200,100,1800
mutant_43.cpp,500,23800,21200,50000,200,2100
mutant_44.cpp,500,2000,200,300,100,1700
mutant_46.cpp,500,3500,200,200,100,2100
mutant_48.cpp,600,2000,300,300,200,2100
mutant_49.cpp,-1,-1,-1,-1,-1,-1
mutant_5.cpp,600,24800,55500,22600,200,2800
mutant_6.cpp,500,1800,200,300,200,1800
mutant_7.cpp,400,23900,21100,22300,200,2000
mutant_8.cpp,500,59000,37200,36900,200,4500
mutant_9.cpp,600,26600,21300,19900,200,5300
