Mutant_File,Mode_1_Seq,Mode_2_Sample,Mode_3_Odd,Mode_4_Even,Mode_5_HeadTail,Mode_6_Middle
mutant_1.cpp,300,23700,18200,16800,100,1900
mutant_10.cpp,-1,-1,-1,-1,-1,-1
mutant_11.cpp,400,21900,17100,15200,100,2000
mutant_12.cpp,400,19300,19900,17200,500,1400
mutant_13.cpp,400,18700,41200,18700,100,2100
mutant_14.cpp,300,1400,200,100,100,2300
mutant_15.cpp,300,17600,16400,20000,0,1600
mutant_16.cpp,-1,-1,-1,-1,-1,-1
mutant_17.cpp,-1,-1,-1,-1,-1,-1
mutant_18.cpp,-1,-1,-1,-1,-1,-1
mutant_19.cpp,400,29200,22700,16400,200,1500
mutant_2.cpp,-1,-1,-1,-1,-1,-1
mutant_20.cpp,500,18000,26200,17800,200,1800
mutant_21.cpp,400,22700,18200,23600,200,1400
mutant_22.cpp,300,19200,15800,28400,0,1700
mutant_23.cpp,-1,-1,-1,-1,-1,-1
mutant_24.cpp,-1,-1,-1,-1,-1,-1
mutant_25.cpp,-1,-1,-1,-1,-1,-1
mutant_26.cpp,-1,-1,-1,-1,-1,-1
mutant_27.cpp,-1,-1,-1,-1,-1,-1
mutant_28.cpp,-1,-1,-1,-1,-1,-1
mutant_29.cpp,-1,-1,-1,-1,-1,-1
mutant_3.cpp,400,1800,500,400,100,1900
mutant_30.cpp,-1,-1,-1,-1,-1,-1
mutant_31.cpp,-1,-1,-1,-1,-1,-1
mutant_32.cpp,-1,-1,-1,-1,-1,-1
mutant_33.cpp,-1,-1,-1,-1,-1,-1
mutant_34.cpp,500,2300,300,300,100,2100
mutant_35.cpp,500,2000,200,300,100,1600
mutant_38.cpp,500,2000,300,300,100,1800
mutant_39.cpp,-1,-1,-1,-1,-1,-1
mutant_4.cpp,500,26200,20900,23100,500,3500
mutant_40.cpp,500,2100,200,200,100,2100
mutant_41.cpp,600,24400,22700,21600,200,1900
mutant_42.cpp,500,2100,200,200,100,5100
mutant_43.cpp,600,27200,24400,25700,200,2100
mutant_44.cpp,500,2100,200,300,200,1700
mutant_46.cpp,600,2900,200,300,300,2500
mutant_48.cpp,500,1800,200,300,100,1700
mutant_49.cpp,-1,-1,-1,-1,-1,-1
mutant_5.cpp,600,23100,26100,21300,200,1900
mutant_6.cpp,500,2300,300,300,200,2200
mutant_7.cpp,500,20800,19700,20600,400,2400
mutant_8.cpp,600,25900,21900,23400,200,2200
mutant_9.cpp,600,25700,25300,22600,200,2000
