Mutant_File,Mode_1_Seq,Mode_2_Sample,Mode_3_Odd,Mode_4_Even,Mode_5_HeadTail,Mode_6_Middle
mutant_1.cpp,249,2250,1625,4417,167,667
mutant_10.cpp,-1,-1,-1,-1,-1,-1
mutant_11.cpp,291,2875,5459,6750,125,874
mutant_12.cpp,291,4208,3167,3042,83,708
mutant_13.cpp,208,2250,1875,4709,125,916
mutant_14.cpp,208,458,334,459,125,583
mutant_15.cpp,251,3416,4250,3959,126,1042
mutant_16.cpp,-1,-1,-1,-1,-1,-1
mutant_17.cpp,293,2666,5291,4750,167,666
mutant_18.cpp,251,2333,1708,3458,126,750
mutant_19.cpp,334,2166,3917,3709,125,749
mutant_2.cpp,-1,-1,-1,-1,-1,-1
mutant_20.cpp,292,2875,1875,10666,250,917
mutant_21.cpp,250,2416,1709,3417,125,667
mutant_22.cpp,250,2207,4042,3957,167,542
mutant_23.cpp,-1,-1,-1,-1,-1,-1
mutant_24.cpp,-1,-1,-1,-1,-1,-1
mutant_25.cpp,-1,-1,-1,-1,-1,-1
mutant_26.cpp,-1,-1,-1,-1,-1,-1
mutant_27.cpp,-1,-1,-1,-1,-1,-1
mutant_28.cpp,-1,-1,-1,-1,-1,-1
mutant_29.cpp,-1,-1,-1,-1,-1,-1
mutant_3.cpp,334,1083,375,375,458,584
mutant_30.cpp,-1,-1,-1,-1,-1,-1
mutant_31.cpp,-1,-1,-1,-1,-1,-1
mutant_32.cpp,-1,-1,-1,-1,-1,-1
mutant_33.cpp,-1,-1,-1,-1,-1,-1
mutant_34.cpp,291,375,167,250,208,500
mutant_35.cpp,250,500,125,166,84,583
mutant_38.cpp,250,625,250,208,167,542
mutant_39.cpp,-1,-1,-1,-1,-1,-1
mutant_4.cpp,375,2333,1917,1792,83,500
mutant_40.cpp,291,542,250,416,292,791
mutant_41.cpp,249,2834,5042,3750,126,792
mutant_42.cpp,291,458,167,584,125,917
mutant_43.cpp,292,2750,2125,5625,83,1291
mutant_44.cpp,291,625,209,292,125,959
mutant_46.cpp,417,500,167,208,167,500
mutant_48.cpp,250,625,209,375,292,708
mutant_49.cpp,-1,-1,-1,-1,-1,-1
mutant_5.cpp,292,2958,4459,3750,83,792
mutant_6.cpp,250,458,417,333,125,791
mutant_7.cpp,208,2583,3917,3666,166,792
mutant_8.cpp,333,2417,2125,4584,166,958
mutant_9.cpp,375,2750,4168,3708,166,750
