Mutant_File,Mode_1_Seq,Mode_2_Sample,Mode_3_Odd,Mode_4_Even,Mode_5_HeadTail,Mode_6_Middle
mutant_1.cpp,600,21300,20900,18100,200,2000
mutant_10.cpp,-1,-1,-1,-1,-1,-1
mutant_11.cpp,700,24500,17500,52600,100,2100
mutant_12.cpp,600,32000,51600,41500,600,4100
mutant_13.cpp,600,59100,28400,56700,500,3200
mutant_14.cpp,500,5300,300,300,300,1900
mutant_15.cpp,600,22000,17300,18200,300,2100
mutant_16.cpp,-1,-1,-1,-1,-1,-1
mutant_17.cpp,-1,-1,-1,-1,-1,-1
mutant_18.cpp,-1,-1,-1,-1,-1,-1
mutant_19.cpp,500,20000,46800,17000,200,2000
mutant_2.cpp,-1,-1,-1,-1,-1,-1
mutant_20.cpp,800,34700,46300,40100,400,3100
mutant_21.cpp,800,41300,42200,42000,400,2100
mutant_22.cpp,500,21400,18100,18400,200,1900
mutant_23.cpp,-1,-1,-1,-1,-1,-1
mutant_24.cpp,-1,-1,-1,-1,-1,-1
mutant_25.cpp,-1,-1,-1,-1,-1,-1
mutant_26.cpp,-1,-1,-1,-1,-1,-1
mutant_27.cpp,-1,-1,-1,-1,-1,-1
mutant_28.cpp,-1,-1,-1,-1,-1,-1
mutant_29.cpp,-1,-1,-1,-1,-1,-1
mutant_3.cpp,600,2000,300,200,200,1900
mutant_30.cpp,-1,-1,-1,-1,-1,-1
mutant_31.cpp,-1,-1,-1,-1,-1,-1
mutant_32.cpp,-1,-1,-1,-1,-1,-1
mutant_33.cpp,-1,-1,-1,-1,-1,-1
mutant_34.cpp,700,5400,400,400,300,2000
mutant_35.cpp,700,2100,300,300,200,1900
mutant_38.cpp,1400,5800,500,500,200,2000
mutant_39.cpp,-1,-1,-1,-1,-1,-1
mutant_4.cpp,500,19500,16600,17700,200,2100
mutant_40.cpp,1000,4700,500,600,400,3700
mutant_41.cpp,600,22000,19300,17900,200,2100
mutant_42.cpp,500,2100,500,300,200,1900
mutant_43.cpp,500,21700,18000,16700,400,2200
mutant_44.cpp,500,1900,200,400,200,1900
mutant_46.cpp,500,2100,300,300,200,1900
mutant_48.cpp,500,2100,200,500,200,1800
mutant_49.cpp,-1,-1,-1,-1,-1,-1
mutant_5.cpp,500,23400,17700,17200,300,2000
mutant_6.cpp,1600,2100,200,300,200,1900
mutant_7.cpp,600,22400,18400,17000,300,1900
mutant_8.cpp,1200,20600,26000,31600,300,2500
mutant_9.cpp,1300,58700,17800,17300,200,2300
