Mutant_File,Mode_1_Seq,Mode_2_Sample,Mode_3_Odd,Mode_4_Even,Mode_5_HeadTail,Mode_6_Middle
mutant_1.cpp,833,3459,4125,3000,84,750
mutant_10.cpp,-1,-1,-1,-1,-1,-1
mutant_11.cpp,792,9333,6042,5542,84,2583
mutant_12.cpp,750,7042,3542,6292,125,708
mutant_13.cpp,958,10542,7250,10083,167,834
mutant_14.cpp,834,1000,458,542,209,1083
mutant_15.cpp,1125,9042,6875,5083,208,833
mutant_16.cpp,-1,-1,-1,-1,-1,-1
mutant_17.cpp,958,9125,7334,5543,167,458
mutant_18.cpp,2375,8417,5708,5292,125,583
mutant_19.cpp,917,7876,5542,4333,84,792
mutant_2.cpp,-1,-1,-1,-1,-1,-1
mutant_20.cpp,750,8125,5999,4084,167,875
mutant_21.cpp,1208,6374,5916,3749,208,666
mutant_22.cpp,875,6708,6041,3959,167,750
mutant_23.cpp,-1,-1,-1,-1,-1,-1
mutant_24.cpp,-1,-1,-1,-1,-1,-1
mutant_25.cpp,-1,-1,-1,-1,-1,-1
mutant_26.cpp,-1,-1,-1,-1,-1,-1
mutant_27.cpp,-1,-1,-1,-1,-1,-1
mutant_28.cpp,-1,-1,-1,-1,-1,-1
mutant_29.cpp,-1,-1,-1,-1,-1,-1
mutant_3.cpp,792,1167,459,417,167,708
mutant_30.cpp,-1,-1,-1,-1,-1,-1
mutant_31.cpp,-1,-1,-1,-1,-1,-1
mutant_32.cpp,-1,-1,-1,-1,-1,-1
mutant_33.cpp,-1,-1,-1,-1,-1,-1
mutant_34.cpp,458,625,291,292,125,542
mutant_35.cpp,666,4084,167,167,41,417
mutant_38.cpp,667,500,125,209,125,291
mutant_39.cpp,-1,-1,-1,-1,-1,-1
mutant_4.cpp,959,7584,4958,4375,250,667
mutant_40.cpp,666,2167,709,542,459,1042
mutant_41.cpp,958,7249,5375,4541,166,959
mutant_42.cpp,1000,9375,416,459,125,1458
mutant_43.cpp,792,8750,11458,5334,126,916
mutant_44.cpp,666,1792,542,375,333,917
mutant_46.cpp,666,13125,500,417,208,625
mutant_48.cpp,875,1833,667,375,333,4750
mutant_49.cpp,-1,-1,-1,-1,-1,-1
mutant_5.cpp,875,4250,2376,2250,41,416
mutant_6.cpp,833,1625,541,458,125,792
mutant_7.cpp,833,7958,4917,4250,167,833
mutant_8.cpp,792,7666,5583,4750,83,583
mutant_9.cpp,875,5833,4333,4000,167,1000
