Mutant_File,Mode_1_Seq,Mode_2_Sample,Mode_3_Odd,Mode_4_Even,Mode_5_HeadTail,Mode_6_Middle
mutant_1.cpp,300,22900,65700,28800,100,3000
mutant_10.cpp,-1,-1,-1,-1,-1,-1
mutant_11.cpp,1100,69000,32500,73000,800,2500
mutant_12.cpp,500,25700,19800,37600,700,4000
mutant_13.cpp,500,26600,32000,27000,200,2000
mutant_14.cpp,600,2200,300,400,100,2300
mutant_15.cpp,600,49000,24900,26700,300,2300
mutant_16.cpp,-1,-1,-1,-1,-1,-1
mutant_17.cpp,-1,-1,-1,-1,-1,-1
mutant_18.cpp,-1,-1,-1,-1,-1,-1
mutant_19.cpp,700,31200,24800,32500,200,3000
mutant_2.cpp,-1,-1,-1,-1,-1,-1
mutant_20.cpp,600,28000,23600,96400,200,2200
mutant_21.cpp,600,29200,41500,39000,200,2500
mutant_22.cpp,600,27200,21000,23400,200,2800
mutant_23.cpp,-1,-1,-1,-1,-1,-1
mutant_24.cpp,-1,-1,-1,-1,-1,-1
mutant_25.cpp,-1,-1,-1,-1,-1,-1
mutant_26.cpp,-1,-1,-1,-1,-1,-1
mutant_27.cpp,-1,-1,-1,-1,-1,-1
mutant_28.cpp,-1,-1,-1,-1,-1,-1
mutant_29.cpp,-1,-1,-1,-1,-1,-1
mutant_3.cpp,500,2000,300,300,100,1900
mutant_30.cpp,-1,-1,-1,-1,-1,-1
mutant_31.cpp,-1,-1,-1,-1,-1,-1
mutant_32.cpp,-1,-1,-1,-1,-1,-1
mutant_33.cpp,-1,-1,-1,-1,-1,-1
mutant_34.cpp,700,1900,300,200,100,3100
mutant_35.cpp,400,1800,200,300,100,1600
mutant_38.cpp,600,1800,200,200,100,2200
mutant_39.cpp,-1,-1,-1,-1,-1,-1
mutant_4.cpp,500,23400,19500,20800,200,2100
mutant_40.cpp,400,2700,1100,200,300,1900
mutant_41.cpp,500,21300,16300,20300,200,2000
mutant_42.cpp,600,2100,200,300,100,1700
mutant_43.cpp,700,28300,24500,20700,200,2700
mutant_44.cpp,500,1800,200,300,200,3700
mutant_46.cpp,500,2300,300,400,1300,2300
mutant_48.cpp,400,1800,200,400,100,1600
mutant_49.cpp,-1,-1,-1,-1,-1,-1
mutant_5.cpp,600,23800,19600,17700,200,2000
mutant_6.cpp,400,1800,200,300,100,1700
mutant_7.cpp,500,23300,20600,19000,200,1900
mutant_8.cpp,400,22800,19000,19100,600,2600
mutant_9.cpp,300,22300,15800,19600,200,1900
