Mutant_File,Mode_1_Seq,Mode_2_Sample,Mode_3_Odd,Mode_4_Even,Mode_5_HeadTail,Mode_6_Middle
mutant_1.cpp,1000,18600,16300,15300,100,2100
mutant_10.cpp,-1,-1,-1,-1,-1,-1
mutant_11.cpp,500,18800,15900,14900,100,1800
mutant_12.cpp,600,28300,24000,24400,400,2200
mutant_13.cpp,500,23600,259100,20900,200,2000
mutant_14.cpp,400,1800,300,200,100,2200
mutant_15.cpp,500,25000,20300,19400,200,2000
mutant_16.cpp,-1,-1,-1,-1,-1,-1
mutant_17.cpp,-1,-1,-1,-1,-1,-1
mutant_18.cpp,-1,-1,-1,-1,-1,-1
mutant_19.cpp,500,18700,41500,17200,100,2300
mutant_2.cpp,-1,-1,-1,-1,-1,-1
mutant_20.cpp,400,19600,17600,16400,200,2100
mutant_21.cpp,500,31200,17900,19200,400,2100
mutant_22.cpp,600,25100,20600,22400,200,2100
mutant_23.cpp,-1,-1,-1,-1,-1,-1
mutant_24.cpp,-1,-1,-1,-1,-1,-1
mutant_25.cpp,-1,-1,-1,-1,-1,-1
mutant_26.cpp,-1,-1,-1,-1,-1,-1
mutant_27.cpp,-1,-1,-1,-1,-1,-1
mutant_28.cpp,-1,-1,-1,-1,-1,-1
mutant_29.cpp,-1,-1,-1,-1,-1,-1
mutant_3.cpp,600,2800,200,200,100,2000
mutant_30.cpp,-1,-1,-1,-1,-1,-1
mutant_31.cpp,-1,-1,-1,-1,-1,-1
mutant_32.cpp,-1,-1,-1,-1,-1,-1
mutant_33.cpp,-1,-1,-1,-1,-1,-1
mutant_34.cpp,500,1900,300,200,100,1900
mutant_35.cpp,400,1600,200,200,100,1700
mutant_38.cpp,400,1600,200,300,100,1700
mutant_39.cpp,-1,-1,-1,-1,-1,-1
mutant_4.cpp,500,30600,22400,23100,300,3100
mutant_40.cpp,500,1800,400,500,200,1700
mutant_41.cpp,500,21900,20800,18300,100,2200
mutant_42.cpp,400,1700,100,300,100,1800
mutant_43.cpp,400,19600,20900,17200,200,1800
mutant_44.cpp,400,2000,300,200,100,1600
mutant_46.cpp,500,1900,300,300,100,1900
mutant_48.cpp,400,1600,200,300,100,1600
mutant_49.cpp,-1,-1,-1,-1,-1,-1
mutant_5.cpp,400,22200,20600,20600,300,1900
mutant_6.cpp,400,1800,200,300,900,1600
mutant_7.cpp,500,23500,19800,19900,200,2200
mutant_8.cpp,700,20500,18000,19200,200,1900
mutant_9.cpp,400,21300,18500,18500,200,5000
