Mutant_File,Mode_1_Seq,Mode_2_Sample,Mode_3_Odd,Mode_4_Even,Mode_5_HeadTail,Mode_6_Middle
mutant_1.cpp,1700,9700,7700,7300,200,500
mutant_10.cpp,-1,-1,-1,-1,-1,-1
mutant_11.cpp,2800,500,13900,9600,300,500
mutant_12.cpp,1800,9600,8100,6800,200,1800
mutant_13.cpp,2000,8800,8700,8900,200,2600
mutant_14.cpp,1200,500,700,700,100,400
mutant_15.cpp,1400,38800,7300,7200,300,500
mutant_16.cpp,-1,-1,-1,-1,-1,-1
mutant_17.cpp,-1,-1,-1,-1,-1,-1
mutant_18.cpp,-1,-1,-1,-1,-1,-1
mutant_19.cpp,1700,7800,7400,8800,300,900
mutant_2.cpp,-1,-1,-1,-1,-1,-1
mutant_20.cpp,1600,8100,9300,7500,200,2600
mutant_21.cpp,1600,10500,8700,6700,200,2900
mutant_22.cpp,1600,9200,9400,7000,200,400
mutant_23.cpp,-1,-1,-1,-1,-1,-1
mutant_24.cpp,-1,-1,-1,-1,-1,-1
mutant_25.cpp,-1,-1,-1,-1,-1,-1
mutant_26.cpp,-1,-1,-1,-1,-1,-1
mutant_27.cpp,-1,-1,-1,-1,-1,-1
mutant_28.cpp,-1,-1,-1,-1,-1,-1
mutant_29.cpp,-1,-1,-1,-1,-1,-1
mutant_3.cpp,1200,600,700,800,600,400
mutant_30.cpp,-1,-1,-1,-1,-1,-1
mutant_31.cpp,-1,-1,-1,-1,-1,-1
mutant_32.cpp,-1,-1,-1,-1,-1,-1
mutant_33.cpp,-1,-1,-1,-1,-1,-1
mutant_34.cpp,1500,500,600,800,200,400
mutant_35.cpp,1600,700,900,900,200,500
mutant_38.cpp,1600,700,900,900,200,500
mutant_39.cpp,-1,-1,-1,-1,-1,-1
mutant_4.cpp,2400,8400,8400,7800,400,2000
mutant_40.cpp,1500,700,900,900,200,500
mutant_41.cpp,4900,7300,6100,5500,500,1600
mutant_42.cpp,1600,700,900,900,200,500
mutant_43.cpp,2300,9200,9400,9000,200,2100
mutant_44.cpp,1500,600,900,900,200,500
mutant_46.cpp,1300,500,800,900,100,400
mutant_48.cpp,1600,700,900,900,100,500
mutant_49.cpp,-1,-1,-1,-1,-1,-1
mutant_5.cpp,15100,7500,7400,7000,200,2500
mutant_6.cpp,1500,700,900,800,100,400
mutant_7.cpp,2000,7200,7500,5300,200,2300
mutant_8.cpp,1400,9500,9000,8200,200,1200
mutant_9.cpp,1700,7000,9100,6400,300,2400
