Mutant_File,Mode_1_Seq,Mode_2_Sample,Mode_3_Odd,Mode_4_Even,Mode_5_HeadTail,Mode_6_Middle
mutant_1.cpp,2500,7000,7800,19900,200,2200
mutant_10.cpp,-1,-1,-1,-1,-1,-1
mutant_11.cpp,1400,9100,9500,7600,2200,400
mutant_12.cpp,1900,9700,7700,6700,200,2300
mutant_13.cpp,1600,8900,7200,7800,300,1500
mutant_14.cpp,1300,700,1000,900,200,600
mutant_15.cpp,2100,11700,8500,6300,200,700
mutant_16.cpp,-1,-1,-1,-1,-1,-1
mutant_17.cpp,-1,-1,-1,-1,-1,-1
mutant_18.cpp,-1,-1,-1,-1,-1,-1
mutant_19.cpp,1300,6900,7000,7600,300,1200
mutant_2.cpp,-1,-1,-1,-1,-1,-1
mutant_20.cpp,1800,13100,6100,6400,100,1500
mutant_21.cpp,5600,8300,6700,6200,300,2600
mutant_22.cpp,1800,7400,8400,7900,300,1300
mutant_23.cpp,-1,-1,-1,-1,-1,-1
mutant_24.cpp,-1,-1,-1,-1,-1,-1
mutant_25.cpp,-1,-1,-1,-1,-1,-1
mutant_26.cpp,-1,-1,-1,-1,-1,-1
mutant_27.cpp,-1,-1,-1,-1,-1,-1
mutant_28.cpp,-1,-1,-1,-1,-1,-1
mutant_29.cpp,-1,-1,-1,-1,-1,-1
mutant_3.cpp,1600,1300,1000,1000,200,600
mutant_30.cpp,-1,-1,-1,-1,-1,-1
mutant_31.cpp,-1,-1,-1,-1,-1,-1
mutant_32.cpp,-1,-1,-1,-1,-1,-1
mutant_33.cpp,-1,-1,-1,-1,-1,-1
mutant_34.cpp,1200,600,700,600,100,400
mutant_35.cpp,1100,600,700,600,100,300
mutant_38.cpp,1400,500,800,800,100,500
mutant_39.cpp,-1,-1,-1,-1,-1,-1
mutant_4.cpp,1700,8500,5800,7100,200,2600
mutant_40.cpp,1400,600,1000,900,200,500
mutant_41.cpp,1500,10500,7200,11800,400,2600
mutant_42.cpp,1200,800,1000,600,100,300
mutant_43.cpp,1300,8600,7300,7200,200,1400
mutant_44.cpp,1200,1000,800,800,200,500
mutant_46.cpp,1200,500,700,600,100,500
mutant_48.cpp,1300,500,700,700,100,400
mutant_49.cpp,-1,-1,-1,-1,-1,-1
mutant_5.cpp,1600,9200,6600,6700,200,1000
mutant_6.cpp,1500,600,800,800,100,400
mutant_7.cpp,1200,6000,6600,5300,300,800
mutant_8.cpp,1400,7400,5100,7600,300,800
mutant_9.cpp,1200,6300,6300,6400,200,1200
