Mutant_File,Mode_1_Seq,Mode_2_Sample,Mode_3_Odd,Mode_4_Even,Mode_5_HeadTail,Mode_6_Middle
mutant_1.cpp,500,21200,17600,17800,200,1900
mutant_10.cpp,-1,-1,-1,-1,-1,-1
mutant_11.cpp,1700,69300,53100,19900,600,2600
mutant_12.cpp,400,21500,17700,18700,300,2100
mutant_13.cpp,1000,42900,34000,48600,300,2000
mutant_14.cpp,500,2100,300,300,200,2000
mutant_15.cpp,600,23000,18500,17400,200,2200
mutant_16.cpp,-1,-1,-1,-1,-1,-1
mutant_17.cpp,-1,-1,-1,-1,-1,-1
mutant_18.cpp,-1,-1,-1,-1,-1,-1
mutant_19.cpp,500,21400,18100,20300,300,2200
mutant_2.cpp,-1,-1,-1,-1,-1,-1
mutant_20.cpp,500,43600,34300,37700,400,4600
mutant_21.cpp,600,21900,16900,17100,300,2000
mutant_22.cpp,1600,51800,43700,36200,500,4100
mutant_23.cpp,-1,-1,-1,-1,-1,-1
mutant_24.cpp,-1,-1,-1,-1,-1,-1
mutant_25.cpp,-1,-1,-1,-1,-1,-1
mutant_26.cpp,-1,-1,-1,-1,-1,-1
mutant_27.cpp,-1,-1,-1,-1,-1,-1
mutant_28.cpp,-1,-1,-1,-1,-1,-1
mutant_29.cpp,-1,-1,-1,-1,-1,-1
mutant_3.cpp,600,2500,400,300,200,2000
mutant_30.cpp,-1,-1,-1,-1,-1,-1
mutant_31.cpp,-1,-1,-1,-1,-1,-1
mutant_32.cpp,-1,-1,-1,-1,-1,-1
mutant_33.cpp,-1,-1,-1,-1,-1,-1
mutant_34.cpp,1500,2000,200,300,200,1900
mutant_35.cpp,500,2300,300,300,200,1800
mutant_38.cpp,500,2100,300,300,200,2000
mutant_39.cpp,-1,-1,-1,-1,-1,-1
mutant_4.cpp,500,20700,55400,18000,300,2000
mutant_40.cpp,1500,4300,800,700,300,2400
mutant_41.cpp,700,57200,64000,17800,200,2000
mutant_42.cpp,1600,5600,500,600,300,3000
mutant_43.cpp,700,54900,17500,17500,200,2100
mutant_44.cpp,500,2000,300,300,200,1800
mutant_46.cpp,600,4800,300,300,200,2100
mutant_48.cpp,1600,7400,500,600,400,4100
mutant_49.cpp,-1,-1,-1,-1,-1,-1
mutant_5.cpp,500,45600,53900,18900,200,2000
mutant_6.cpp,500,2200,200,300,200,1900
mutant_7.cpp,500,21100,53400,17200,200,2000
mutant_8.cpp,800,22100,16900,17500,200,2100
mutant_9.cpp,600,117600,21000,17200,200,2300
