Mutant_File,Mode_1_Seq,Mode_2_Sample,Mode_3_Odd,Mode_4_Even,Mode_5_HeadTail,Mode_6_Middle
mutant_1.cpp,400,19400,16500,15600,200,1500
mutant_10.cpp,-1,-1,-1,-1,-1,-1
mutant_11.cpp,500,20000,17400,15300,200,1700
mutant_12.cpp,400,34400,18700,17100,100,1700
mutant_13.cpp,400,17500,16900,21700,200,1600
mutant_14.cpp,400,1700,300,200,100,2000
mutant_15.cpp,400,28100,15500,15200,200,1500
mutant_16.cpp,-1,-1,-1,-1,-1,-1
mutant_17.cpp,400,19400,16500,15900,100,1800
mutant_18.cpp,500,18800,16900,21000,200,1900
mutant_19.cpp,500,16800,17100,16800,200,2300
mutant_2.cpp,-1,-1,-1,-1,-1,-1
mutant_20.cpp,400,17900,22100,15100,200,1700
mutant_21.cpp,400,18600,16500,24400,200,1900
mutant_22.cpp,400,19300,17600,15300,200,4000
mutant_23.cpp,-1,-1,-1,-1,-1,-1
mutant_24.cpp,-1,-1,-1,-1,-1,-1
mutant_25.cpp,-1,-1,-1,-1,-1,-1
mutant_26.cpp,-1,-1,-1,-1,-1,-1
mutant_27.cpp,-1,-1,-1,-1,-1,-1
mutant_28.cpp,-1,-1,-1,-1,-1,-1
mutant_29.cpp,-1,-1,-1,-1,-1,-1
mutant_3.cpp,500,1800,200,200,100,1700
mutant_30.cpp,-1,-1,-1,-1,-1,-1
mutant_31.cpp,-1,-1,-1,-1,-1,-1
mutant_32.cpp,-1,-1,-1,-1,-1,-1
mutant_33.cpp,-1,-1,-1,-1,-1,-1
mutant_34.cpp,500,2400,200,200,300,2800
mutant_35.cpp,500,1900,300,300,100,2000
mutant_38.cpp,500,2400,200,300,100,2800
mutant_39.cpp,-1,-1,-1,-1,-1,-1
mutant_4.cpp,500,22400,20100,19100,200,1900
mutant_40.cpp,500,2200,200,300,100,2000
mutant_41.cpp,600,24700,21200,21900,200,2000
mutant_42.cpp,500,2100,200,500,200,2000
mutant_43.cpp,600,23500,18900,19500,200,1900
mutant_44.cpp,500,2400,300,200,200,2300
mutant_46.cpp,600,1900,300,200,100,3300
mutant_48.cpp,500,3500,200,200,100,2400
mutant_49.cpp,-1,-1,-1,-1,-1,-1
mutant_5.cpp,500,24800,19900,23900,200,2300
mutant_6.cpp,600,2000,300,300,200,3000
mutant_7.cpp,600,21000,20100,18500,200,2100
mutant_8.cpp,500,23900,20200,20600,400,2000
mutant_9.cpp,500,22500,19100,18900,100,2000
