Mutant_File,Mode_1_Seq,Mode_2_Sample,Mode_3_Odd,Mode_4_Even,Mode_5_HeadTail,Mode_6_Middle
mutant_1.cpp,500,20400,22000,24100,200,4000
mutant_10.cpp,-1,-1,-1,-1,-1,-1
mutant_11.cpp,600,31400,34900,35500,300,2400
mutant_12.cpp,600,24700,20200,18100,200,1900
mutant_13.cpp,500,26200,24200,19800,100,2100
mutant_14.cpp,500,2400,1700,300,200,3100
mutant_15.cpp,600,25500,23800,27400,300,2500
mutant_16.cpp,-1,-1,-1,-1,-1,-1
mutant_17.cpp,-1,-1,-1,-1,-1,-1
mutant_18.cpp,-1,-1,-1,-1,-1,-1
mutant_19.cpp,600,23400,18800,22200,700,2100
mutant_2.cpp,-1,-1,-1,-1,-1,-1
mutant_20.cpp,400,18000,16800,24200,200,2400
mutant_21.cpp,400,20200,16500,17200,200,1400
mutant_22.cpp,500,20900,17000,17300,100,1700
mutant_23.cpp,-1,-1,-1,-1,-1,-1
mutant_24.cpp,-1,-1,-1,-1,-1,-1
mutant_25.cpp,-1,-1,-1,-1,-1,-1
mutant_26.cpp,-1,-1,-1,-1,-1,-1
mutant_27.cpp,-1,-1,-1,-1,-1,-1
mutant_28.cpp,-1,-1,-1,-1,-1,-1
mutant_29.cpp,-1,-1,-1,-1,-1,-1
mutant_3.cpp,500,1900,200,300,100,1700
mutant_30.cpp,-1,-1,-1,-1,-1,-1
mutant_31.cpp,-1,-1,-1,-1,-1,-1
mutant_32.cpp,-1,-1,-1,-1,-1,-1
mutant_33.cpp,-1,-1,-1,-1,-1,-1
mutant_34.cpp,500,2500,200,100,100,1800
mutant_35.cpp,400,2100,200,100,200,2100
mutant_38.cpp,500,1700,300,100,100,1700
mutant_39.cpp,-1,-1,-1,-1,-1,-1
mutant_4.cpp,600,27200,64500,29300,200,2600
mutant_40.cpp,400,2500,300,200,100,1800
mutant_41.cpp,500,24300,30800,34600,200,2800
mutant_42.cpp,400,2500,200,200,200,2900
mutant_43.cpp,500,26400,19500,20000,600,2100
mutant_44.cpp,600,2000,300,300,200,2200
mutant_46.cpp,500,1900,200,500,200,2500
mutant_48.cpp,400,2300,300,200,100,2100
mutant_49.cpp,-1,-1,-1,-1,-1,-1
mutant_5.cpp,500,26000,21400,22400,200,3600
mutant_6.cpp,500,1900,300,300,100,3500
mutant_7.cpp,700,24600,28500,21300,200,1900
mutant_8.cpp,600,27700,21800,153200,200,2100
mutant_9.cpp,600,28000,20300,22400,200,3600
