Mutant_File,Mode_1_Seq,Mode_2_Sample,Mode_3_Odd,Mode_4_Even,Mode_5_HeadTail,Mode_6_Middle
mutant_1.cpp,2200,9300,7300,7600,200,2100
mutant_10.cpp,-1,-1,-1,-1,-1,-1
mutant_11.cpp,1300,11800,7300,7400,100,3000
mutant_12.cpp,1200,7100,8200,29100,500,700
mutant_13.cpp,1400,8900,7200,7200,200,400
mutant_14.cpp,1600,900,900,900,200,500
mutant_15.cpp,1900,8500,14900,8300,200,400
mutant_16.cpp,-1,-1,-1,-1,-1,-1
mutant_17.cpp,-1,-1,-1,-1,-1,-1
mutant_18.cpp,-1,-1,-1,-1,-1,-1
mutant_19.cpp,2300,8500,21000,9400,300,3300
mutant_2.cpp,-1,-1,-1,-1,-1,-1
mutant_20.cpp,2800,15700,9200,8500,200,2900
mutant_21.cpp,2100,11500,10900,6600,300,3100
mutant_22.cpp,1800,9600,10000,8900,900,3200
mutant_23.cpp,-1,-1,-1,-1,-1,-1
mutant_24.cpp,-1,-1,-1,-1,-1,-1
mutant_25.cpp,-1,-1,-1,-1,-1,-1
mutant_26.cpp,-1,-1,-1,-1,-1,-1
mutant_27.cpp,-1,-1,-1,-1,-1,-1
mutant_28.cpp,-1,-1,-1,-1,-1,-1
mutant_29.cpp,-1,-1,-1,-1,-1,-1
mutant_3.cpp,1600,800,900,900,100,400
mutant_30.cpp,-1,-1,-1,-1,-1,-1
mutant_31.cpp,-1,-1,-1,-1,-1,-1
mutant_32.cpp,-1,-1,-1,-1,-1,-1
mutant_33.cpp,-1,-1,-1,-1,-1,-1
mutant_34.cpp,1200,1100,700,700,100,1100
mutant_35.cpp,1500,700,800,800,100,400
mutant_38.cpp,1200,900,600,700,100,400
mutant_39.cpp,-1,-1,-1,-1,-1,-1
mutant_4.cpp,3600,9700,6400,7900,300,3300
mutant_40.cpp,1500,700,800,700,100,400
mutant_41.cpp,2400,10400,8600,10100,300,3200
mutant_42.cpp,1200,500,600,700,200,600
mutant_43.cpp,1500,9900,8300,13900,400,2800
mutant_44.cpp,1200,600,700,800,200,400
mutant_46.cpp,1200,700,600,800,200,500
mutant_48.cpp,1100,500,800,800,200,700
mutant_49.cpp,-1,-1,-1,-1,-1,-1
mutant_5.cpp,1800,8900,7900,5900,300,1100
mutant_6.cpp,1300,500,700,900,100,500
mutant_7.cpp,1400,9300,19800,8900,200,3100
mutant_8.cpp,1800,11100,8500,7000,300,2700
mutant_9.cpp,1300,7700,7000,6200,200,1500
