Mutant_File,Mode_1_Seq,Mode_2_Sample,Mode_3_Odd,Mode_4_Even,Mode_5_HeadTail,Mode_6_Middle
mutant_1.cpp,1400,9500,8100,8000,300,900
mutant_10.cpp,-1,-1,-1,-1,-1,-1
mutant_11.cpp,1500,9200,10000,8200,400,1500
mutant_12.cpp,1900,6400,8400,7400,200,400
mutant_13.cpp,1200,6600,6800,7400,200,500
mutant_14.cpp,1500,600,1100,800,100,500
mutant_15.cpp,2000,12500,12100,7900,400,500
mutant_16.cpp,-1,-1,-1,-1,-1,-1
mutant_17.cpp,-1,-1,-1,-1,-1,-1
mutant_18.cpp,-1,-1,-1,-1,-1,-1
mutant_19.cpp,1900,8400,8100,8200,100,1500
mutant_2.cpp,-1,-1,-1,-1,-1,-1
mutant_20.cpp,1300,8000,7400,6900,200,800
mutant_21.cpp,1300,7100,8100,7800,300,1100
mutant_22.cpp,1900,10600,7300,6700,200,1300
mutant_23.cpp,-1,-1,-1,-1,-1,-1
mutant_24.cpp,-1,-1,-1,-1,-1,-1
mutant_25.cpp,-1,-1,-1,-1,-1,-1
mutant_26.cpp,-1,-1,-1,-1,-1,-1
mutant_27.cpp,-1,-1,-1,-1,-1,-1
mutant_28.cpp,-1,-1,-1,-1,-1,-1
mutant_29.cpp,-1,-1,-1,-1,-1,-1
mutant_3.cpp,1200,500,700,700,100,400
mutant_30.cpp,-1,-1,-1,-1,-1,-1
mutant_31.cpp,-1,-1,-1,-1,-1,-1
mutant_32.cpp,-1,-1,-1,-1,-1,-1
mutant_33.cpp,-1,-1,-1,-1,-1,-1
mutant_34.cpp,1200,500,600,800,100,400
mutant_35.cpp,1200,600,900,1000,200,400
mutant_38.cpp,1200,600,900,900,200,1100
mutant_39.cpp,-1,-1,-1,-1,-1,-1
mutant_4.cpp,1300,7700,8600,5800,200,1200
mutant_40.cpp,1100,400,600,700,200,400
mutant_41.cpp,2000,7300,7400,6900,200,1300
mutant_42.cpp,1400,600,900,1000,200,400
mutant_43.cpp,1300,13900,10400,9000,200,1200
mutant_44.cpp,1200,600,700,1000,100,500
mutant_46.cpp,1200,500,700,900,100,500
mutant_48.cpp,1200,500,700,700,200,400
mutant_49.cpp,-1,-1,-1,-1,-1,-1
mutant_5.cpp,1400,6800,7300,7300,100,2000
mutant_6.cpp,1100,500,700,600,100,500
mutant_7.cpp,1200,6600,5600,6200,300,1100
mutant_8.cpp,1500,5700,7800,7000,200,1300
mutant_9.cpp,1600,9600,10300,7800,200,1200
