Mutant_File,Mode_1_Seq,Mode_2_Sample,Mode_3_Odd,Mode_4_Even,Mode_5_HeadTail,Mode_6_Middle
mutant_1.cpp,400,17600,16100,15900,200,1700
mutant_10.cpp,-1,-1,-1,-1,-1,-1
mutant_11.cpp,400,19700,21300,16300,200,1600
mutant_12.cpp,400,19500,17900,21600,100,1600
mutant_13.cpp,300,20700,17200,24800,300,1600
mutant_14.cpp,400,1500,200,200,100,1300
mutant_15.cpp,400,18500,23500,21600,100,2300
mutant_16.cpp,-1,-1,-1,-1,-1,-1
mutant_17.cpp,400,18300,27900,24800,200,1500
mutant_18.cpp,400,19300,18500,15800,200,1600
mutant_19.cpp,500,31400,22500,18100,200,1600
mutant_2.cpp,-1,-1,-1,-1,-1,-1
mutant_20.cpp,500,22500,19800,15800,200,1600
mutant_21.cpp,400,19400,15700,17800,200,2200
mutant_22.cpp,500,24600,15900,21600,200,1800
mutant_23.cpp,-1,-1,-1,-1,-1,-1
mutant_24.cpp,-1,-1,-1,-1,-1,-1
mutant_25.cpp,-1,-1,-1,-1,-1,-1
mutant_26.cpp,-1,-1,-1,-1,-1,-1
mutant_27.cpp,-1,-1,-1,-1,-1,-1
mutant_28.cpp,-1,-1,-1,-1,-1,-1
mutant_29.cpp,-1,-1,-1,-1,-1,-1
mutant_3.cpp,500,1700,200,200,100,12000
mutant_30.cpp,-1,-1,-1,-1,-1,-1
mutant_31.cpp,-1,-1,-1,-1,-1,-1
mutant_32.cpp,-1,-1,-1,-1,-1,-1
mutant_33.cpp,-1,-1,-1,-1,-1,-1
mutant_34.cpp,600,2500,400,900,100,2400
mutant_35.cpp,400,2300,200,200,100,1800
mutant_38.cpp,500,2500,300,300,100,2100
mutant_39.cpp,-1,-1,-1,-1,-1,-1
mutant_4.cpp,600,23300,18400,23200,200,3400
mutant_40.cpp,500,2200,200,200,200,1900
mutant_41.cpp,600,23400,21600,30300,400,2000
mutant_42.cpp,500,2000,200,200,200,1700
mutant_43.cpp,600,23300,29500,25600,200,3000
mutant_44.cpp,500,2000,300,300,100,1800
mutant_46.cpp,500,2200,300,200,100,1900
mutant_48.cpp,500,1900,200,300,200,1800
mutant_49.cpp,-1,-1,-1,-1,-1,-1
mutant_5.cpp,600,26000,37700,31300,200,2400
mutant_6.cpp,500,2300,200,300,100,1800
mutant_7.cpp,600,57500,20800,34100,200,2000
mutant_8.cpp,600,23600,19600,21100,200,2500
mutant_9.cpp,500,26000,17500,23600,200,2100
