Mutant_File,Mode_1_Seq,Mode_2_Sample,Mode_3_Odd,Mode_4_Even,Mode_5_HeadTail,Mode_6_Middle
mutant_1.cpp,300,27300,17700,24400,200,2100
mutant_10.cpp,-1,-1,-1,-1,-1,-1
mutant_11.cpp,400,18900,16400,16200,200,1500
mutant_12.cpp,400,18800,17800,25600,100,1700
mutant_13.cpp,500,25500,16700,24200,200,1500
mutant_14.cpp,300,1700,200,100,100,1800
mutant_15.cpp,400,19200,16600,15700,200,2100
mutant_16.cpp,-1,-1,-1,-1,-1,-1
mutant_17.cpp,-1,-1,-1,-1,-1,-1
mutant_18.cpp,-1,-1,-1,-1,-1,-1
mutant_19.cpp,300,19100,16300,17900,400,1500
mutant_2.cpp,-1,-1,-1,-1,-1,-1
mutant_20.cpp,400,20600,21900,17800,200,1800
mutant_21.cpp,400,19300,24300,14900,200,2600
mutant_22.cpp,400,20400,14600,19000,900,2000
mutant_23.cpp,-1,-1,-1,-1,-1,-1
mutant_24.cpp,-1,-1,-1,-1,-1,-1
mutant_25.cpp,-1,-1,-1,-1,-1,-1
mutant_26.cpp,-1,-1,-1,-1,-1,-1
mutant_27.cpp,-1,-1,-1,-1,-1,-1
mutant_28.cpp,-1,-1,-1,-1,-1,-1
mutant_29.cpp,-1,-1,-1,-1,-1,-1
mutant_3.cpp,500,2100,300,200,200,1700
mutant_30.cpp,-1,-1,-1,-1,-1,-1
mutant_31.cpp,-1,-1,-1,-1,-1,-1
mutant_32.cpp,-1,-1,-1,-1,-1,-1
mutant_33.cpp,-1,-1,-1,-1,-1,-1
mutant_34.cpp,500,2300,300,300,200,2100
mutant_35.cpp,500,2000,300,200,100,1900
mutant_38.cpp,500,1800,200,200,200,1900
mutant_39.cpp,-1,-1,-1,-1,-1,-1
mutant_4.cpp,500,24000,21700,23500,200,2200
mutant_40.cpp,500,2300,200,300,100,1800
mutant_41.cpp,400,24100,20400,34400,200,2000
mutant_42.cpp,500,2100,200,400,100,1900
mutant_43.cpp,600,24400,28700,21700,200,2000
mutant_44.cpp,600,2300,300,800,200,2700
mutant_46.cpp,400,1800,300,600,100,2000
mutant_48.cpp,500,1900,300,200,200,2000
mutant_49.cpp,-1,-1,-1,-1,-1,-1
mutant_5.cpp,500,21000,16900,28000,200,2000
mutant_6.cpp,600,2300,300,300,100,1900
mutant_7.cpp,500,21600,21000,30900,200,2400
mutant_8.cpp,500,24000,29100,20900,200,2400
mutant_9.cpp,500,24200,18800,19500,200,1900
