Mutant_File,Mode_1_Seq,Mode_2_Sample,Mode_3_Odd,Mode_4_Even,Mode_5_HeadTail,Mode_6_Middle
mutant_1.cpp,1000,40000,24000,24100,400,2900
mutant_10.cpp,-1,-1,-1,-1,-1,-1
mutant_11.cpp,1400,43600,49300,38300,400,3300
mutant_12.cpp,1000,27800,48100,36700,500,5000
mutant_13.cpp,700,29000,25000,22700,300,4900
mutant_14.cpp,1700,4700,700,800,200,2600
mutant_15.cpp,1100,70100,60500,29300,500,3900
mutant_16.cpp,-1,-1,-1,-1,-1,-1
mutant_17.cpp,-1,-1,-1,-1,-1,-1
mutant_18.cpp,-1,-1,-1,-1,-1,-1
mutant_19.cpp,500,21500,17700,18100,300,2100
mutant_2.cpp,-1,-1,-1,-1,-1,-1
mutant_20.cpp,800,55900,40600,43900,600,4800
mutant_21.cpp,400,22200,18400,17700,500,2000
mutant_22.cpp,900,25500,31300,31900,300,2300
mutant_23.cpp,-1,-1,-1,-1,-1,-1
mutant_24.cpp,-1,-1,-1,-1,-1,-1
mutant_25.cpp,-1,-1,-1,-1,-1,-1
mutant_26.cpp,-1,-1,-1,-1,-1,-1
mutant_27.cpp,-1,-1,-1,-1,-1,-1
mutant_28.cpp,-1,-1,-1,-1,-1,-1
mutant_29.cpp,-1,-1,-1,-1,-1,-1
mutant_3.cpp,500,2200,300,200,200,2400
mutant_30.cpp,-1,-1,-1,-1,-1,-1
mutant_31.cpp,-1,-1,-1,-1,-1,-1
mutant_32.cpp,-1,-1,-1,-1,-1,-1
mutant_33.cpp,-1,-1,-1,-1,-1,-1
mutant_34.cpp,1500,5900,600,400,300,3100
mutant_35.cpp,600,2100,300,300,200,2000
mutant_38.cpp,500,2200,300,300,400,2100
mutant_39.cpp,-1,-1,-1,-1,-1,-1
mutant_4.cpp,700,26100,17700,17700,200,2100
mutant_40.cpp,500,2000,300,300,100,2100
mutant_41.cpp,1500,21100,17800,18100,200,2000
mutant_42.cpp,1500,5600,300,500,200,2000
mutant_43.cpp,500,53200,17400,18800,300,2100
mutant_44.cpp,500,2500,100,300,300,1900
mutant_46.cpp,500,2700,400,500,300,3200
mutant_48.cpp,1300,2200,300,300,300,2000
mutant_49.cpp,-1,-1,-1,-1,-1,-1
mutant_5.cpp,500,20400,17500,18300,200,2000
mutant_6.cpp,500,3100,200,300,100,2000
mutant_7.cpp,1600,41600,26600,54500,300,2300
mutant_8.cpp,400,22500,18000,58000,200,2100
mutant_9.cpp,900,82100,23200,25000,400,2100
