Mutant_File,Mode_1_Seq,Mode_2_Sample,Mode_3_Odd,Mode_4_Even,Mode_5_HeadTail,Mode_6_Middle
mutant_1.cpp,600,19900,17900,21900,100,2100
mutant_10.cpp,-1,-1,-1,-1,-1,-1
mutant_11.cpp,700,23800,19200,19000,300,2000
mutant_12.cpp,1700,46900,56400,52600,700,6000
mutant_13.cpp,600,26200,23400,21000,300,2900
mutant_14.cpp,600,2200,300,400,300,2300
mutant_15.cpp,600,29400,29600,39300,400,5300
mutant_16.cpp,-1,-1,-1,-1,-1,-1
mutant_17.cpp,-1,-1,-1,-1,-1,-1
mutant_18.cpp,-1,-1,-1,-1,-1,-1
mutant_19.cpp,800,33500,32500,35200,400,3100
mutant_2.cpp,-1,-1,-1,-1,-1,-1
mutant_20.cpp,700,54500,48900,75800,800,6100
mutant_21.cpp,600,32900,27400,30100,400,2700
mutant_22.cpp,700,20700,17700,17600,200,2100
mutant_23.cpp,-1,-1,-1,-1,-1,-1
mutant_24.cpp,-1,-1,-1,-1,-1,-1
mutant_25.cpp,-1,-1,-1,-1,-1,-1
mutant_26.cpp,-1,-1,-1,-1,-1,-1
mutant_27.cpp,-1,-1,-1,-1,-1,-1
mutant_28.cpp,-1,-1,-1,-1,-1,-1
mutant_29.cpp,-1,-1,-1,-1,-1,-1
mutant_3.cpp,500,4600,500,500,300,2400
mutant_30.cpp,-1,-1,-1,-1,-1,-1
mutant_31.cpp,-1,-1,-1,-1,-1,-1
mutant_32.cpp,-1,-1,-1,-1,-1,-1
mutant_33.cpp,-1,-1,-1,-1,-1,-1
mutant_34.cpp,1600,4400,600,600,500,3300
mutant_35.cpp,600,2300,300,200,200,1700
mutant_38.cpp,1400,5800,600,500,200,1800
mutant_39.cpp,-1,-1,-1,-1,-1,-1
mutant_4.cpp,700,21400,17900,18000,300,2000
mutant_40.cpp,1500,5400,500,500,300,1900
mutant_41.cpp,600,22400,17700,16200,300,2200
mutant_42.cpp,500,1900,300,300,200,1900
mutant_43.cpp,1700,41600,29100,36300,200,1900
mutant_44.cpp,700,2100,300,300,200,1900
mutant_46.cpp,700,1900,300,200,300,2100
mutant_48.cpp,1600,4600,500,400,500,2100
mutant_49.cpp,-1,-1,-1,-1,-1,-1
mutant_5.cpp,1600,53800,26500,27600,400,2000
mutant_6.cpp,700,2700,200,300,200,1900
mutant_7.cpp,1000,35400,31800,31500,200,1900
mutant_8.cpp,1500,58900,38000,38200,400,2000
mutant_9.cpp,500,21100,18600,18500,300,2000
