Mutant_File,Mode_1_Seq,Mode_2_Sample,Mode_3_Odd,Mode_4_Even,Mode_5_HeadTail,Mode_6_Middle
mutant_1.cpp,334,2500,2000,1834,209,750
mutant_10.cpp,-1,-1,-1,-1,-1,-1
mutant_11.cpp,250,2999,2666,5376,82,1292
mutant_12.cpp,292,2333,1834,3583,42,708
mutant_13.cpp,333,2458,5208,4875,125,709
mutant_14.cpp,250,500,125,375,167,625
mutant_15.cpp,292,4625,3376,3000,126,541
mutant_16.cpp,-1,-1,-1,-1,-1,-1
mutant_17.cpp,291,2250,1750,5833,125,792
mutant_18.cpp,250,3251,1834,3833,126,958
mutant_19.cpp,249,2291,1625,3708,83,791
mutant_2.cpp,-1,-1,-1,-1,-1,-1
mutant_20.cpp,250,2459,4918,3917,166,791
mutant_21.cpp,292,2500,3166,2667,125,833
mutant_22.cpp,250,2250,11708,4041,208,792
mutant_23.cpp,-1,-1,-1,-1,-1,-1
mutant_24.cpp,-1,-1,-1,-1,-1,-1
mutant_25.cpp,-1,-1,-1,-1,-1,-1
mutant_26.cpp,-1,-1,-1,-1,-1,-1
mutant_27.cpp,-1,-1,-1,-1,-1,-1
mutant_28.cpp,-1,-1,-1,-1,-1,-1
mutant_29.cpp,-1,-1,-1,-1,-1,-1
mutant_3.cpp,250,708,167,292,125,584
mutant_30.cpp,-1,-1,-1,-1,-1,-1
mutant_31.cpp,-1,-1,-1,-1,-1,-1
mutant_32.cpp,-1,-1,-1,-1,-1,-1
mutant_33.cpp,-1,-1,-1,-1,-1,-1
mutant_34.cpp,292,625,208,292,41,459
mutant_35.cpp,250,250,542,375,125,666
mutant_38.cpp,291,459,125,333,250,792
mutant_39.cpp,-1,-1,-1,-1,-1,-1
mutant_4.cpp,375,2126,1791,3583,167,749
mutant_40.cpp,292,542,291,208,208,750
mutant_41.cpp,250,2709,1959,1832,41,375
mutant_42.cpp,250,500,167,125,83,708
mutant_43.cpp,292,3250,3000,3209,166,875
mutant_44.cpp,250,458,125,500,166,667
mutant_46.cpp,208,583,167,208,125,541
mutant_48.cpp,250,667,334,292,292,1042
mutant_49.cpp,-1,-1,-1,-1,-1,-1
mutant_5.cpp,250,2791,3750,4333,84,833
mutant_6.cpp,292,417,125,375,125,667
mutant_7.cpp,208,2207,3875,3333,125,875
mutant_8.cpp,208,2667,3250,3750,167,667
mutant_9.cpp,250,2668,3625,3292,167,708
