Mutant_File,Mode_1_Seq,Mode_2_Sample,Mode_3_Odd,Mode_4_Even,Mode_5_HeadTail,Mode_6_Middle
mutant_1.cpp,600,28100,18700,22000,100,1700
mutant_10.cpp,-1,-1,-1,-1,-1,-1
mutant_11.cpp,500,26500,18400,23900,200,1700
mutant_12.cpp,400,19500,15100,14200,200,4200
mutant_13.cpp,500,34500,15900,40400,500,1500
mutant_14.cpp,600,3100,200,200,100,3900
mutant_15.cpp,500,26900,22800,30600,100,2600
mutant_16.cpp,-1,-1,-1,-1,-1,-1
mutant_17.cpp,-1,-1,-1,-1,-1,-1
mutant_18.cpp,-1,-1,-1,-1,-1,-1
mutant_19.cpp,400,18600,21400,19300,100,1600
mutant_2.cpp,-1,-1,-1,-1,-1,-1
mutant_20.cpp,400,18000,15000,25500,200,1400
mutant_21.cpp,400,30400,15800,16500,200,1500
mutant_22.cpp,400,29800,16000,16000,100,1500
mutant_23.cpp,-1,-1,-1,-1,-1,-1
mutant_24.cpp,-1,-1,-1,-1,-1,-1
mutant_25.cpp,-1,-1,-1,-1,-1,-1
mutant_26.cpp,-1,-1,-1,-1,-1,-1
mutant_27.cpp,-1,-1,-1,-1,-1,-1
mutant_28.cpp,-1,-1,-1,-1,-1,-1
mutant_29.cpp,-1,-1,-1,-1,-1,-1
mutant_3.cpp,500,1900,200,200,100,1700
mutant_30.cpp,-1,-1,-1,-1,-1,-1
mutant_31.cpp,-1,-1,-1,-1,-1,-1
mutant_32.cpp,-1,-1,-1,-1,-1,-1
mutant_33.cpp,-1,-1,-1,-1,-1,-1
mutant_34.cpp,400,2500,200,100,100,2300
mutant_35.cpp,400,1400,400,100,100,2300
mutant_38.cpp,600,2000,200,300,100,2300
mutant_39.cpp,-1,-1,-1,-1,-1,-1
mutant_4.cpp,500,25100,21100,20200,200,2600
mutant_40.cpp,400,3200,700,300,100,1900
mutant_41.cpp,400,22300,19500,16400,100,1900
mutant_42.cpp,500,2300,200,300,100,1600
mutant_43.cpp,500,26100,17600,17800,200,1800
mutant_44.cpp,500,1900,200,200,300,1800
mutant_46.cpp,400,2500,200,100,200,1800
mutant_48.cpp,500,1700,200,200,100,1500
mutant_49.cpp,-1,-1,-1,-1,-1,-1
mutant_5.cpp,500,20500,15400,17800,200,1900
mutant_6.cpp,400,1800,200,200,200,1700
mutant_7.cpp,500,21700,17000,17500,200,1800
mutant_8.cpp,500,22000,20400,19200,200,1800
mutant_9.cpp,400,21600,18300,17300,100,1700
