Mutant_File,Mode_1_Seq,Mode_2_Sample,Mode_3_Odd,Mode_4_Even,Mode_5_HeadTail,Mode_6_Middle
mutant_1.cpp,1000,27600,19500,25800,200,1600
mutant_10.cpp,-1,-1,-1,-1,-1,-1
mutant_11.cpp,400,18600,21800,22100,200,11400
mutant_12.cpp,300,18900,16700,17800,100,1800
mutant_13.cpp,400,25400,17000,16300,100,1600
mutant_14.cpp,400,2300,200,200,0,1600
mutant_15.cpp,500,18500,16800,23500,200,1800
mutant_16.cpp,-1,-1,-1,-1,-1,-1
mutant_17.cpp,-1,-1,-1,-1,-1,-1
mutant_18.cpp,-1,-1,-1,-1,-1,-1
mutant_19.cpp,500,22500,14500,19600,200,5800
mutant_2.cpp,-1,-1,-1,-1,-1,-1
mutant_20.cpp,300,17800,17100,15800,400,2000
mutant_21.cpp,500,24100,19000,14300,100,1900
mutant_22.cpp,600,28200,33300,19900,500,1400
mutant_23.cpp,-1,-1,-1,-1,-1,-1
mutant_24.cpp,-1,-1,-1,-1,-1,-1
mutant_25.cpp,-1,-1,-1,-1,-1,-1
mutant_26.cpp,-1,-1,-1,-1,-1,-1
mutant_27.cpp,-1,-1,-1,-1,-1,-1
mutant_28.cpp,-1,-1,-1,-1,-1,-1
mutant_29.cpp,-1,-1,-1,-1,-1,-1
mutant_3.cpp,500,2000,200,200,200,1800
mutant_30.cpp,-1,-1,-1,-1,-1,-1
mutant_31.cpp,-1,-1,-1,-1,-1,-1
mutant_32.cpp,-1,-1,-1,-1,-1,-1
mutant_33.cpp,-1,-1,-1,-1,-1,-1
mutant_34.cpp,500,1700,200,200,100,1600
mutant_35.cpp,400,1700,200,200,100,1600
mutant_38.cpp,400,1600,200,200,100,1600
mutant_39.cpp,-1,-1,-1,-1,-1,-1
mutant_4.cpp,500,23600,20500,18900,200,2300
mutant_40.cpp,500,2100,300,200,100,1900
mutant_41.cpp,400,28000,16800,17500,200,1800
mutant_42.cpp,500,1900,200,200,100,2700
mutant_43.cpp,600,29300,24200,35300,200,2700
mutant_44.cpp,400,2500,200,300,100,1700
mutant_46.cpp,500,1900,300,200,100,1900
mutant_48.cpp,500,2600,200,200,400,1600
mutant_49.cpp,-1,-1,-1,-1,-1,-1
mutant_5.cpp,500,21200,23100,17500,200,1900
mutant_6.cpp,600,2100,200,500,100,1800
mutant_7.cpp,500,23500,16300,19300,800,3000
mutant_8.cpp,300,20000,17700,16300,200,2600
mutant_9.cpp,500,19700,16800,16400,200,2000
