Mutant_File,Mode_1_Seq,Mode_2_Sample,Mode_3_Odd,Mode_4_Even,Mode_5_HeadTail,Mode_6_Middle
mutant_1.cpp,834,6250,4667,6208,334,917
mutant_10.cpp,-1,-1,-1,-1,-1,-1
mutant_11.cpp,875,8167,6750,8166,124,1583
mutant_12.cpp,792,8417,6792,4709,416,792
mutant_13.cpp,792,8124,7042,5751,166,792
mutant_14.cpp,792,875,583,500,125,750
mutant_15.cpp,792,9916,7041,8792,125,793
mutant_16.cpp,-1,-1,-1,-1,-1,-1
mutant_17.cpp,750,8209,16250,4708,166,1375
mutant_18.cpp,667,7958,6958,4708,208,1042
mutant_19.cpp,751,3333,1917,2042,42,1083
mutant_2.cpp,-1,-1,-1,-1,-1,-1
mutant_20.cpp,792,8417,4875,4333,167,875
mutant_21.cpp,875,7458,5042,4458,125,1042
mutant_22.cpp,792,5709,3499,3042,208,959
mutant_23.cpp,-1,-1,-1,-1,-1,-1
mutant_24.cpp,-1,-1,-1,-1,-1,-1
mutant_25.cpp,-1,-1,-1,-1,-1,-1
mutant_26.cpp,-1,-1,-1,-1,-1,-1
mutant_27.cpp,-1,-1,-1,-1,-1,-1
mutant_28.cpp,-1,-1,-1,-1,-1,-1
mutant_29.cpp,-1,-1,-1,-1,-1,-1
mutant_3.cpp,250,708,125,208,250,417
mutant_30.cpp,-1,-1,-1,-1,-1,-1
mutant_31.cpp,-1,-1,-1,-1,-1,-1
mutant_32.cpp,-1,-1,-1,-1,-1,-1
mutant_33.cpp,-1,-1,-1,-1,-1,-1
mutant_34.cpp,750,1042,500,375,167,458
mutant_35.cpp,750,1375,500,334,125,458
mutant_38.cpp,666,1292,375,459,208,1042
mutant_39.cpp,-1,-1,-1,-1,-1,-1
mutant_4.cpp,792,5542,3876,3667,84,500
mutant_40.cpp,959,1333,625,375,250,833
mutant_41.cpp,833,2542,2874,2334,84,333
mutant_42.cpp,792,1708,458,542,83,1125
mutant_43.cpp,917,9208,6875,5999,125,1209
mutant_44.cpp,875,1250,458,500,250,750
mutant_46.cpp,292,500,166,166,84,500
mutant_48.cpp,833,1791,583,708,541,625
mutant_49.cpp,-1,-1,-1,-1,-1,-1
mutant_5.cpp,416,3208,2166,1834,83,417
mutant_6.cpp,792,1208,292,500,208,958
mutant_7.cpp,1000,7750,5084,3958,292,833
mutant_8.cpp,708,3458,2791,2293,82,500
mutant_9.cpp,791,7459,5251,3958,124,709
