Mutant_File,Mode_1_Seq,Mode_2_Sample,Mode_3_Odd,Mode_4_Even,Mode_5_HeadTail,Mode_6_Middle
mutant_1.cpp,300,16700,12900,16000,300,1600
mutant_10.cpp,-1,-1,-1,-1,-1,-1
mutant_11.cpp,400,20400,30200,17200,200,1400
mutant_12.cpp,300,23800,16200,18000,200,1800
mutant_13.cpp,300,27000,26300,20700,700,2000
mutant_14.cpp,400,1400,100,200,100,3500
mutant_15.cpp,700,22700,14900,54900,200,2100
mutant_16.cpp,-1,-1,-1,-1,-1,-1
mutant_17.cpp,-1,-1,-1,-1,-1,-1
mutant_18.cpp,-1,-1,-1,-1,-1,-1
mutant_19.cpp,300,37900,40600,23900,200,1600
mutant_2.cpp,-1,-1,-1,-1,-1,-1
mutant_20.cpp,400,26400,20000,15900,100,1800
mutant_21.cpp,400,18200,18600,17100,100,1900
mutant_22.cpp,400,17200,18000,16900,100,2400
mutant_23.cpp,-1,-1,-1,-1,-1,-1
mutant_24.cpp,-1,-1,-1,-1,-1,-1
mutant_25.cpp,-1,-1,-1,-1,-1,-1
mutant_26.cpp,-1,-1,-1,-1,-1,-1
mutant_27.cpp,-1,-1,-1,-1,-1,-1
mutant_28.cpp,-1,-1,-1,-1,-1,-1
mutant_29.cpp,-1,-1,-1,-1,-1,-1
mutant_3.cpp,400,1700,200,200,100,2100
mutant_30.cpp,-1,-1,-1,-1,-1,-1
mutant_31.cpp,-1,-1,-1,-1,-1,-1
mutant_32.cpp,-1,-1,-1,-1,-1,-1
mutant_33.cpp,-1,-1,-1,-1,-1,-1
mutant_34.cpp,500,2600,200,200,100,2200
mutant_35.cpp,500,1900,200,300,600,2400
mutant_38.cpp,400,1700,200,300,100,2000
mutant_39.cpp,-1,-1,-1,-1,-1,-1
mutant_4.cpp,500,22600,17800,23800,100,1900
mutant_40.cpp,500,1700,400,600,2100,2000
mutant_41.cpp,500,29300,17500,17900,300,2300
mutant_42.cpp,500,2300,200,200,200,1800
mutant_43.cpp,500,21700,19000,25600,100,2000
mutant_44.cpp,600,2300,200,400,200,1900
mutant_46.cpp,400,1700,300,300,400,1400
mutant_48.cpp,500,1600,300,200,100,1800
mutant_49.cpp,-1,-1,-1,-1,-1,-1
mutant_5.cpp,400,19400,16600,183100,200,2500
mutant_6.cpp,400,1800,100,300,100,1800
mutant_7.cpp,400,19000,16400,18300,100,2500
mutant_8.cpp,400,20700,15800,15800,200,3400
mutant_9.cpp,300,19000,15700,16400,200,2200
